WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,B002-6,,EAN : 8902552050583,,BEST,11-12-2020,11-15-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,B003-1,,EAN : 8902552045947,,BEST,11-12-2020,11-15-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,B003-5,,EAN : 8902552048115,,BEST,11-12-2020,11-15-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,B003-7,,EAN : 8902552051498,,BEST,11-12-2020,11-15-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,B027-2,,EAN : 8902552051238,,BEST,11-12-2020,11-15-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,B036-7,,EAN : 8903540506235,,BEST,11-12-2020,11-15-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,B036-8,,EAN : 8903540506242,,BEST,11-12-2020,11-15-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,B037-9,,EAN : 8903540506297,,BEST,11-12-2020,11-15-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,B053-1,,EAN : 8902552052235,,BEST,11-12-2020,11-15-2020,20,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,CU001-1,,EAN : 8902552051474,,BEST,11-12-2020,11-15-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,PM003,,EAN : 8902552050200,,BEST,11-12-2020,11-15-2020,48,CS,16,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,PM006,,EAN : 8902552051337,,BEST,11-12-2020,11-15-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,R002-4,,EAN : 8902552049136,,BEST,11-12-2020,11-15-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,R002-5,,EAN : 8902552048856,,BEST,11-12-2020,11-15-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,R022-1,,EAN : 8902552050972,,BEST,11-12-2020,11-15-2020,16,CS,16,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,R056-1,,EAN : 0677355173064,,BEST,11-12-2020,11-15-2020,8,CS,8,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
CA,,,3,FBA15TCSBWSG,11-12-2020,,,,,,CHM,,,R064-1,,EAN : 0677355142435,,BEST,11-12-2020,11-15-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TCSBWSG.pdf
