WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,CU004-1,,,,BEST,11-12-2020,11-15-2020,10,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,CU005-1,,,,BEST,11-12-2020,11-15-2020,28,CS,28,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,CU015-1,,,,BEST,11-12-2020,11-15-2020,10,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,CU015-2,,,,BEST,11-12-2020,11-15-2020,10,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,CU015-3,,,,BEST,11-12-2020,11-15-2020,10,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,NP001-1,,,,BEST,11-12-2020,11-15-2020,31,CS,31,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,PM008-1,,,,BEST,11-12-2020,11-15-2020,25,CS,25,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,PM009-1,,,,BEST,11-12-2020,11-15-2020,21,CS,21,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,PM009-2,,,,BEST,11-12-2020,11-15-2020,35,CS,35,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,PM009-3,,,,BEST,11-12-2020,11-15-2020,29,CS,29,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,PM010-1,,,,BEST,11-12-2020,11-15-2020,25,CS,25,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,PM010-2,,,,BEST,11-12-2020,11-15-2020,25,CS,25,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,PM010-3,,,,BEST,11-12-2020,11-15-2020,25,CS,25,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,PM011-1,,,,BEST,11-12-2020,11-15-2020,30,CS,30,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,PM012-1,,,,BEST,11-12-2020,11-15-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,TR007-1,,,,BEST,11-12-2020,11-15-2020,25,CS,25,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,TR008-1,,,,BEST,11-12-2020,11-15-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
CA,,,3,FBA15TFHC8R0,11-12-2020,,,,,,CHM,,,TR009-1,,,,BEST,11-12-2020,11-15-2020,25,CS,25,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TFHC8R0.pdf
