WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15TLQGHZ1,11-17-2020,,,,,,CHM,,,B025-1,,EAN : 8902552048658,,BEST,11-17-2020,11-20-2020,3,CS,3,,GSO1,,1656 OLD GREENSBORO RD,,KERNERSVILLE,NC,27284-6855,,,,,,,,Shipping labels in file package-FBA15TLQGHZ1.pdf
CA,,,3,FBA15TLQGHZ1,11-17-2020,,,,,,CHM,,,PM004,,EAN : 8902552051269,,BEST,11-17-2020,11-20-2020,98,CS,14,,GSO1,,1656 OLD GREENSBORO RD,,KERNERSVILLE,NC,27284-6855,,,,,,,,Shipping labels in file package-FBA15TLQGHZ1.pdf
CA,,,3,FBA15TLQGHZ1,11-17-2020,,,,,,CHM,,,R045-1,,EAN : 0677355119116,,BEST,11-17-2020,11-20-2020,6,CS,6,,GSO1,,1656 OLD GREENSBORO RD,,KERNERSVILLE,NC,27284-6855,,,,,,,,Shipping labels in file package-FBA15TLQGHZ1.pdf
CA,,,3,FBA15TLWCXY7,11-17-2020,,,,,,CHM,,,B025-1,,EAN : 8902552048658,,BEST,11-17-2020,11-20-2020,6,CS,3,,MEM6,,11505 Progress Way,,OLIVE BRANCH,MS,38654-2510,,,,,,,,Shipping labels in file package-FBA15TLWCXY7.pdf
CA,,,3,FBA15TLWCXY7,11-17-2020,,,,,,CHM,,,B025-5,,EAN : 8902552050606,,BEST,11-17-2020,11-20-2020,3,CS,1,,MEM6,,11505 Progress Way,,OLIVE BRANCH,MS,38654-2510,,,,,,,,Shipping labels in file package-FBA15TLWCXY7.pdf
CA,,,3,FBA15TLWCXY7,11-17-2020,,,,,,CHM,,,PM004,,EAN : 8902552051269,,BEST,11-17-2020,11-20-2020,28,CS,14,,MEM6,,11505 Progress Way,,OLIVE BRANCH,MS,38654-2510,,,,,,,,Shipping labels in file package-FBA15TLWCXY7.pdf
CA,,,3,FBA15TLWDN4M,11-17-2020,,,,,,CHM,,,B025-1,,EAN : 8902552048658,,BEST,11-17-2020,11-20-2020,6,CS,3,,SLC2,,7148 W. Old Bingham Hwy,,West Jordan,UT,84081,,,,,,,,Shipping labels in file package-FBA15TLWDN4M.pdf
CA,,,3,FBA15TLWDN4M,11-17-2020,,,,,,CHM,,,B025-5,,EAN : 8902552050606,,BEST,11-17-2020,11-20-2020,5,CS,1,,SLC2,,7148 W. Old Bingham Hwy,,West Jordan,UT,84081,,,,,,,,Shipping labels in file package-FBA15TLWDN4M.pdf
CA,,,3,FBA15TLWDN4M,11-17-2020,,,,,,CHM,,,PM004,,EAN : 8902552051269,,BEST,11-17-2020,11-20-2020,14,CS,14,,SLC2,,7148 W. Old Bingham Hwy,,West Jordan,UT,84081,,,,,,,,Shipping labels in file package-FBA15TLWDN4M.pdf
CA,,,3,FBA15TLWDN4M,11-17-2020,,,,,,CHM,,,R003-1,,EAN : 8902552048863,,BEST,11-17-2020,11-20-2020,4,CS,4,,SLC2,,7148 W. Old Bingham Hwy,,West Jordan,UT,84081,,,,,,,,Shipping labels in file package-FBA15TLWDN4M.pdf
CA,,,3,FBA15TLWDN4M,11-17-2020,,,,,,CHM,,,R024-1,,EAN : 8902552050996,,BEST,11-17-2020,11-20-2020,6,CS,6,,SLC2,,7148 W. Old Bingham Hwy,,West Jordan,UT,84081,,,,,,,,Shipping labels in file package-FBA15TLWDN4M.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B002-3,,EAN : 8902552046883,,BEST,11-17-2020,11-20-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B003-3,,EAN : 8902552046906,,BEST,11-17-2020,11-20-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B003-4,,EAN : 8902552046913,,BEST,11-17-2020,11-20-2020,48,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B003-5,,EAN : 8902552048115,,BEST,11-17-2020,11-20-2020,48,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B003-6,,EAN : 8902552050590,,BEST,11-17-2020,11-20-2020,36,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B003-7,,EAN : 8902552051498,,BEST,11-17-2020,11-20-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B007-4,,EAN : 8902552046999,,BEST,11-17-2020,11-20-2020,10,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B025-4,,EAN : 8902552050088,,BEST,11-17-2020,11-20-2020,24,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B030-6,,EAN : 8902552051511,,BEST,11-17-2020,11-20-2020,8,CS,8,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,B036-4,,EAN : 8902552051566,,BEST,11-17-2020,11-20-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,CU003-1,,EAN : 8902552051252,,BEST,11-17-2020,11-20-2020,16,CS,16,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,PM005,,EAN : 8902552051276,,BEST,11-17-2020,11-20-2020,24,CS,24,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,PM006,,EAN : 8902552051337,,BEST,11-17-2020,11-20-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,PM006-1,,EAN : 8902552051344,,BEST,11-17-2020,11-20-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,PM007,,EAN : 8902552051757,,BEST,11-17-2020,11-20-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,PM013-1,,EAN : 8902552052099,,BEST,11-17-2020,11-20-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R002-10,,EAN : 8902552050057,,BEST,11-17-2020,11-20-2020,36,CS,9,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R002-11,,EAN : 8902552050064,,BEST,11-17-2020,11-20-2020,36,CS,9,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R002-15,,EAN : 8902552051092,,BEST,11-17-2020,11-20-2020,9,CS,9,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R002-16,,EAN : 8902552051108,,BEST,11-17-2020,11-20-2020,18,CS,9,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R002-18,,EAN : 8902552051122,,BEST,11-17-2020,11-20-2020,30,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R002-19,,EAN : 8902552051733,,BEST,11-17-2020,11-20-2020,20,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R002-5,,EAN : 8902552048856,,BEST,11-17-2020,11-20-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R002-8,,EAN : 8902552050033,,BEST,11-17-2020,11-20-2020,80,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R002-9,,EAN : 8902552050040,,BEST,11-17-2020,11-20-2020,100,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R022-1,,EAN : 8902552050972,,BEST,11-17-2020,11-20-2020,16,CS,16,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,R037-1,,EAN : 0677355114494,,BEST,11-17-2020,11-20-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,THR001-1,,EAN : 8902552050613,,BEST,11-17-2020,11-20-2020,10,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,TR002,,EAN : 8902552050187,,BEST,11-17-2020,11-20-2020,26,CS,13,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
CA,,,3,FBA15TLX47JW,11-17-2020,,,,,,CHM,,,TR005-1,,EAN : 8902552051368,,BEST,11-17-2020,11-20-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15TLX47JW.pdf
