Shipment ID	FBA15R6FX6CX
Name	FBA (9/17/20, 2:34 AM) - 1
Plan ID	PLN316PHHB
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	15
Total Units	668
shipment-total-cases	64
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	6	36
B003-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	"--"	"--"	"--"	12	21	252
B003-3	Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	"--"	"--"	"--"	12	1	12
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	1	12
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'X7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	"--"	"--"	"--"	8	22	176
B035-1	Chardin home New Cordural Solid Bath Runner with Latex Spray Non-Skid Backing, 24" W x 60'' L, Gray	B0779GS3JJ	B0779GS3JJ	EAN : 8902552050286	New	"--"	"--"	"--"	8	1	8
B036-2	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Pink, with Latex Spray Non-Skid Backing.	B07VFVMPGS	B07VFVMPGS	EAN : 8902552051542	New	"--"	"--"	"--"	20	1	20
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	2	24
PM014-1	Chardin home – Carmel: Eco Friendly Cotton/Jute Placemats (Set of 4), Size: 13''x19''.	B0874BN4QW	B0874BN4QW	EAN : 0677355185593	New	"--"	"--"	"--"	8	1	8
PM015-1	Chardin home 100% Cotton, Machine Washable, 13''x19'', Laguna Placemats (Set of Four) for Dinner Parties & Holidays, Black/Cream/White	B0874LLLMP	B0874LLLMP	EAN : 0677355172968	New	"--"	"--"	"--"	13	1	13
R002-2	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Light Gray & White	B01H287HF8	B01H287HF8	EAN : 8902552048085	New	"--"	"--"	"--"	20	1	20
R002-5	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Navy/Ivory	B071ZZCJKH	B071ZZCJKH	EAN : 8902552048856	New	"--"	"--"	"--"	20	1	20
R002-7	Chardin home 100% cotton Diamond Rug Fully Reversible, Mat Size - 21''x34'', Machine Washable, Turquoise Blue/Ivory	B0742R5V35	B0742R5V35	EAN : 8902552050095	New	"--"	"--"	"--"	20	1	20
R005-1	Chardin home Denim Jute Runner Rug. Size: 24"x60"	B074W75Q83	B074W75Q83	EAN : 8902552050163	New	"--"	"--"	"--"	8	1	8
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	3	39
