Shipment ID	FBA15R6KWZLG
Name	FBA (9/17/20, 2:34 AM) - 2
Plan ID	PLN316PHHB
Ship To	Amazon.com Services, Inc., 715 Airtech Pkwy, Plainfield, IN, US, 46168-7442
Total SKUs	1
Total Units	1
shipment-total-cases	1
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	1	1	1
