Shipment ID	FBA15RG1TPYD											
Name	"FBA (9/21/20, 7:40 PM) - 2"											
Plan ID	PLN31M9S41											
Ship To	"SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202"											
Total SKUs	29											
Total Units	762											
shipment-total-cases	62											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
B002-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Gray-Beige with Latex Spray Non-Skid Backing"	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	--	--	--	6	2	12	
B002-3	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise"	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	--	--	--	6	2	12	
B003-1	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing"	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	--	--	--	12	3	36	
B003-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing"	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	--	--	--	12	4	48	
B003-3	"Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal"	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	--	--	--	12	1	12	
B003-4	"100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing"	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	--	--	--	12	3	36	
B003-5	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing"	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	--	--	--	12	2	24	
B003-6	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing"	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	--	--	--	12	2	24	
B003-7	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing"	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	--	--	--	12	1	12	
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'X7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	--	--	--	8	12	96	Kindly arrange to make a 8 pcs box this sku
B025-4	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 3'X5'	B074WJ2DBY	B074WJ2DBY	EAN : 8902552050088	New	--	--	--	8	3	24	Kindly arrange to make a 8 pcs box this sku
B030-5	"Chardin home Cordural Stripe Bath Runner, Lavender Gray and Coral Pink with Latex Spray Non-Skid Backing, 24"" W x 60'' L"	B07TJTHX9Z	B07TJTHX9Z	EAN : 8902552051504	New	--	--	--	8	1	8	
B036-4	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing."	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	--	--	--	20	1	20	
B036-5	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Aqua Blue with Latex Spray Non-Skid Backing."	B07VFWZ6Z9	B07VFWZ6Z9	EAN : 8902552051771	New	--	--	--	20	1	20	
B036-9	"Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, Provencial Blue"	B08CZS7K2T	X002L2XS5P	EAN : 8903540506259	New	--	--	Merchant	20	1	20	
B037-2	"Chardin Home - 100% Pure Cotton - Crochet Bath Rug with Latex Spray Non-Skid Backing, Size: 21''x34'', Pink"	B07VKCFJCS	B07VKCFJCS	EAN : 8902552051580	New	--	--	--	20	1	20	
B038-3	"Chardin home Highland Stripe Bathroom Rug with Latex Spray Non-Skid Backing, 17"" x 24'', Provencial Blue"	B07X568NDC	B07X568NDC	EAN : 8902552051634	New	--	--	--	36	1	36	
B045-2	"Chardin Home - Chenille Shaggy Round Bathroom Rug with Latex Anti Skid Back, 24 Inch Round, Purple/Egg Plant"	B07XD98J89	B07XD98J89	EAN : 8902552054048	New	--	--	--	24	1	24	
PM002	"Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')"	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	--	--	--	12	6	72	
PM003	"Chardin home Eco friendly Rainbow Multi Chindi Placemats (Set of 4 mats), size: 13""x19"" (13''x19'')"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	--	--	--	16	3	48	
R002-17	"Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, Size -2'x5', Machine Washable (Turquoise and White)"	B07F36SQBX	B07F36SQBX	EAN : 8902552051115	New	--	--	--	10	1	10	
R002-3	"Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Brown & White"	B01NCNWE4D	B01NCNWE4D	EAN : 8902552049129	New	--	--	--	20	1	20	
R022-1	"Chardin home Rainbow Shag Rug, 20"" x 30"", Multi-Colored (Multi)"	B07CL7J1MN	B07CL7J1MN	EAN : 8902552050972	New	--	--	--	16	3	48	
R033-2	"Chardin Home- New Mexico: Hand Woven Recycled Cotton Rug. Machine Washable. (2'x3', Black-White)"	B086Y78D5M	B086Y78D5M	EAN : 0677355155725	New	--	--	--	26	1	26	
R034-2	"Chardin Home- New Mexico: Hand Woven Recycled Cotton Rug. Machine Washable. (2'x6', Black-White)"	B086YJGQ4Y	X002I5U7P9	EAN : 0677355132962	New	--	--	Merchant	10	1	10	
R049-1	"Chardin Home – Eco Friendly Recycled and Reversible rag (chindi) Rug Runner, Grey/White, Size: 2'x5'"	B086YXCNYS	X002I65UT1	EAN : 0677355180024	New	--	--	Merchant	8	1	8	
R072-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (24''x36'')	B08D3NXRW4	X002L40RIT	EAN : 8903540506150	New	--	--	Merchant	18	1	18	
THR001-1	"Chardin Home-100% Cotton Diamond Pattern Blanket Throw with Fringe For Chair, Couch, Picnic, Camping, Beach, & Everyday Use , 50” x 60"" , Rust/Ivory."	B079TXDLZ3	B079TXDLZ3	EAN : 8902552050613	New	--	--	--	10	1	10	
TR018-1	"Chardin home Eco Friendly Coastal Cotton Chindi Table Runner, Blues/White, Size: 13""x72"""	B0874NVHJK	B0874NVHJK	EAN : 0677355132122	New	--	--	--	8	1	8	
