Shipment ID	FBA15RJZVZCM
Name	FBA (9/24/20, 12:05 AM) - 1
Plan ID	PLN31W20T3
Ship To	MGE3, 808 Hog Mountain Road, Jefferson, GA, US, 30549-2010
Total SKUs	3
Total Units	70
shipment-total-cases	13
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	"--"	"--"	"--"	1	8	8
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Size -15” Round, Color - Natural Jute. (15'' Round)	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	4	56
R024-1	Chardin home Farmhouse Jute Braid Oval Rug, Natural, Size: 18x30 inch. -1.5x2.5 ft. (3' Rnd)	B07CJL9Y34	B07CJL9Y34	EAN : 8902552050996	New	"--"	"--"	"--"	6	1	6
