Shipment ID	FBA15RK0W3DR
Name	FBA (9/24/20, 12:05 AM) - 2
Plan ID	PLN31W20T3
Ship To	Amazon.com Services, Inc., 5000 Commerce Way, Petersburg, VA, US, 23803-6917
Total SKUs	3
Total Units	52
shipment-total-cases	19
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	"--"	"--"	"--"	1	16	16
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Size -15” Round, Color - Natural Jute. (15'' Round)	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	2	28
R030-1	Chardin home - Raffles Soft & Durable Tissue Area Rug. Cotton Polyester Blended Rug, Black/White, Size: 4'x6' (48"X66")	B07P8M81K8	B07P8M81K8	EAN : 8902552051306	New	"--"	"--"	"--"	8	1	8
