Shipment ID	FBA15RK1PLQ3
Name	FBA (9/24/20, 12:05 AM) - 3
Plan ID	PLN31W20T3
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	32
Total Units	1173
shipment-total-cases	88
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B001-6	Chardin home 2 Piece Arizona Reversible Bath Rug Set (21"x34" & 17"x24") (Griffin Gray)	B017EPG5RA	B017EPG5RA	EAN : 8902552045978	New	"--"	"--"	"--"	12	1	12
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	1	6
B002-3	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	"--"	"--"	"--"	6	1	6
B002-6	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Mint-Green with Latex Spray Non-Skid Backing	B079YBVLXM	B079YBVLXM	EAN : 8902552050583	New	"--"	"--"	"--"	6	1	6
B003-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	"--"	"--"	"--"	12	3	36
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	2	24
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	1	12
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	1	12
B027-1	Chardin home Newport Soft and Durable Tissue/Chenille Rug, Cotton Poly Blended Bathroom Mat or Accent Rug, 20" W x 32" L, Blue/White	B06X1CGW5P	B06X1CGW5P	EAN : 8902552049105	New	"--"	"--"	"--"	20	1	20
B030-7	Chardin home Cordural Stripe Bath Runner, Gray-Charcoal with Latex Spray Non-Skid Backing, 24" W x 60'' L	B07TLY8PKK	B07TLY8PKK	EAN : 8902552051528	New	"--"	"--"	"--"	8	1	8
