Shipment ID	FBA15RQ4PHXQ
Name	FBA (9/29/20, 12:52 AM) - 2
Plan ID	PLN32BSFWD
Ship To	Amazon.com Services, Inc., 1610 Van Buren Road, Easton, PA, US, 18045-7807
Total SKUs	3
Total Units	24
shipment-total-cases	5
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	1	3	3
R003-2	Chardin home Rainbow Multi-Chindi and Natural Hemp Braid Rug, 6' Round	B06X1FDCQR	B06X1FDCQR	EAN : 8902552048870	New	"--"	"--"	"--"	1	1	1
R025-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 18’’x30’’ Oval	B07CL7NXQ8	B07CL7NXQ8	EAN : 8902552051009	New	"--"	"--"	"--"	20	1	20
