Shipment ID	FBA15RQ62LTM
Name	FBA (9/29/20, 12:52 AM) - 1
Plan ID	PLN32BSFWD
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	19
Total Units	650
shipment-total-cases	44
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	2	24
B003-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	"--"	"--"	"--"	12	10	120
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	3	36
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	3	36
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	3	36
B027-2	Chardin home Newport Soft and Durable Tissue/Chenille Rug, Cotton Poly Blended Bathroom Mat or Accent Rug, 20" W x 32" L, Gray/White	B07KPYNH8L	B07KPYNH8L	EAN : 8902552051238	New	"--"	"--"	"--"	20	1	20
B036-4	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing.	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	"--"	"--"	"--"	20	1	20
B036-5	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Aqua Blue with Latex Spray Non-Skid Backing.	B07VFWZ6Z9	B07VFWZ6Z9	EAN : 8902552051771	New	"--"	"--"	"--"	20	1	20
B037-6	Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, Mat Size: 21"x34", Turquoise	B07VKG8RRK	B07VKG8RRK	EAN : 8902552051801	New	"--"	"--"	"--"	20	1	20
B037-7	Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, 21''x34'', White	B08CZLTVVT	X002L2882N	EAN : 8903540506273	New	"--"	"--"	Merchant	20	1	20
B045-1	Chardin Home - Chenille Shaggy Round Cotton Bathroom Rug with Transparent Latex Anti Skid Spray, 24 Inch Round, Turquoise,	B07XC68GDK	B07XC68GDK	EAN : 8902552054031	New	"--"	"--"	"--"	24	1	24
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	6	72
PM003	Chardin home Eco friendly Rainbow Multi Chindi Placemats (Set of 4 mats), size: 13"x19" (13''x19'')	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	3	48
PM006	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Gray-Charcoal, 13''x19'')	B07P9HLP7Q	B07P9HLP7Q	EAN : 8902552051337	New	"--"	"--"	"--"	20	1	20
R002-2	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Light Gray & White	B01H287HF8	B01H287HF8	EAN : 8902552048085	New	"--"	"--"	"--"	20	2	40
R002-4	hardin Home - 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Brick Red & Ivory	B01MU2PYRM	B01MU2PYRM	EAN : 8902552049136	New	"--"	"--"	"--"	20	1	20
R054-1	Chardin Home- Cabana Stripe : Hand Woven Recycled Cotton Rug. Machine Washable. (21''x34''), Black-White.	B086YYQJWV	B086YYQJWV	EAN : 0677355135635	New	"--"	"--"	"--"	28	1	28
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	2	26
TR005-1	Chardin home Eco-Friendly Natural Jute/Cotton Table Runner, Size: 13"x72". Jute/Aqua-Turquoise	B07PBJ6YK1	B07PBJ6YK1	EAN : 8902552051368	New	"--"	"--"	"--"	20	1	20
