Shipment ID	FBA15RS9N1DJ
Name	FBA (10/1/20, 5:24 AM) - 2
Plan ID	PLN32J2JZD
Ship To	Amazon.com Services, Inc., 225 Infinity Dr NW, Charleston, TN, US, 37310-1400
Total SKUs	4
Total Units	32
shipment-total-cases	19
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B050-2	Chardin Home Microfiber Shaggy Rug Size 24”x40”. Perfect for bathrooms, bedrooms & More, Black. Machine Washable.	B07Z1VH6FH	B07Z1VH6FH	EAN : 8902552052075	New	"--"	"--"	"--"	10	1	10
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	1	15	15
R047-1	Chardin Home – Eco Friendly Checkers Area Rug: 100% Recycled Denim & Cotton, Size: 5'x7' Plus Fringes, Color Denim Blue/Off White.	B086YXCLLF	B086YXCLLF	EAN : 0677355167162	New	"--"	"--"	"--"	2	2	4
R061-1	Chardin Home- Boston : Hand Woven Recycled Cotton and Fully Reversible Area Rug, Black/Ivory, Size 5’x7’.	B086Z3LMSS	B086Z3LMSS	EAN : 0677355189232	New	"--"	"--"	"--"	3	1	3
