Shipment ID	FBA15RSJPRN8											
Name	"FBA (10/1/20, 5:24 AM) - 1"											
Plan ID	PLN32J2JZD											
Ship To	"SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202"											
Total SKUs	48											
Total Units	1097											
shipment-total-cases	80											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
B001-6	"Chardin home 2 Piece Arizona Reversible Bath Rug Set (21""x34"" & 17""x24"") (Griffin Gray)"	B017EPG5RA	B017EPG5RA	EAN : 8902552045978	New	--	--	--	12	1	12	
B002-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing"	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	--	--	--	6	1	6	
B002-3	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise"	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	--	--	--	6	1	6	
B003-1	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing"	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	--	--	--	12	2	24	
B003-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing"	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	--	--	--	12	8	96	
B003-3	"Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal"	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	--	--	--	12	3	36	
B003-4	"100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing"	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	--	--	--	12	2	24	
B003-5	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing"	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	--	--	--	12	2	24	
B003-6	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing"	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	--	--	--	12	1	12	
B003-7	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing"	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	--	--	--	12	1	12	
B007-4	"Chardin Home Classic Bath Rug, Large 27""X45"" Burgundy 100% Pure Cotton, Super Soft, Plush & Absorbent with Latex Spray Non-skid Backing"	B01CCWBQ5Q	B01CCWBQ5Q	EAN : 8902552046999	New	--	--	--	10	1	10	
B030-5	"Chardin home Cordural Stripe Bath Runner, Lavender Gray and Coral Pink with Latex Spray Non-Skid Backing, 24"" W x 60'' L"	B07TJTHX9Z	B07TJTHX9Z	EAN : 8902552051504	New	--	--	--	8	1	8	
B030-6	"Chardin home Cordural Stripe Bath Runner, Brown-Beige with Latex Spray Non-Skid Backing, 24"" W x 60'' L"	B07TJVDZ7K	B07TJVDZ7K	EAN : 8902552051511	New	--	--	--	8	1	8	
B036-1	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Coral, with Latex Spray Non-Skid Backing."	B07VDS1JSP	B07VDS1JSP	EAN : 8902552051535	New	--	--	--	20	1	20	
B036-4	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing."	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	--	--	--	20	1	20	
B036-6	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Turquoise, with Latex Spray Non-Skid Backing."	B07VFX71JL	B07VFX71JL	EAN : 8902552051788	New	--	--	--	20	1	20	
B036-7	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug with Latex Spray Non-Skid Backing, 24'' Round, White"	B08CZLTT37	X002L2890J	EAN : 8903540506235	New	--	--	Merchant	20	1	20	
B036-8	"Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, Burgundy"	B08CZCG5HJ	X002L2XSBT	EAN : 8903540506242	New	--	--	Merchant	20	1	20	
B036-9	"Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, Provencial Blue"	B08CZS7K2T	X002L2XS5P	EAN : 8903540506259	New	--	--	Merchant	20	1	20	
B037-2	"Chardin Home - 100% Pure Cotton - Crochet Bath Rug with Latex Spray Non-Skid Backing, Size: 21''x34'', Pink"	B07VKCFJCS	B07VKCFJCS	EAN : 8902552051580	New	--	--	--	20	1	20	
B037-7	"Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, 21''x34'', White"	B08CZLTVVT	X002L2882N	EAN : 8903540506273	New	--	--	Merchant	20	2	40	
B037-8	"Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, Mat Size: 21''x34'', Burgundy"	B08CZNB42T	X002L287LP	EAN : 8903540506280	New	--	--	Merchant	20	1	20	
B037-9	"Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, Mat Size: 21''x34'', Provencial Blue"	B08CZMNGWB	X002L24MOV	EAN : 8903540506297	New	--	--	Merchant	20	1	20	
CU001-1	"Chardin home Rainbow Eco Friendly Cotton Multi Rags Decorative Throw Pillow Covers, 24""x24"" (Set of 2) (Multi)"	B07P6C7T1W	B07P6C7T1W	EAN : 8902552051474	New	--	--	--	12	1	12	
PM002	"Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')"	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	--	--	--	12	11	132	
PM003	"Chardin home Eco friendly Rainbow Multi Chindi Placemats (Set of 4 mats), size: 13""x19"" (13''x19'')"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	--	--	--	16	1	16	
PM006	"Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13"" X 19"" (Natural-Gray-Charcoal, 13''x19'')"	B07P9HLP7Q	B07P9HLP7Q	EAN : 8902552051337	New	--	--	--	20	1	20	
