Shipment ID	FBA15S0Z7XV0
Name	FBA (10/7/20, 11:22 PM) - 2
Plan ID	PLN32WGFG8
Ship To	Amazon.com Services, Inc., 22205 East 19th Ave, Aurora, CO, US, 80019-3710
Total SKUs	2
Total Units	15
shipment-total-cases	2
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Size -15” Round, Color - Natural Jute. (15'' Round)	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	1	14
R003-2	Chardin home Rainbow Multi-Chindi and Natural Hemp Braid Rug, 6' Round	B06X1FDCQR	B06X1FDCQR	EAN : 8902552048870	New	"--"	"--"	"--"	1	1	1
