Shipment ID	FBA15S0Z7XVN
Name	FBA (10/7/20, 11:22 PM) - 1
Plan ID	PLN32WGFG8
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	10
Total Units	159
shipment-total-cases	12
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	2	12
B002-7	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') (Lavender Gray and Coral Pink)	B07TLWQLS9	B07TLWQLS9	EAN : 8902552051481	New	"--"	"--"	"--"	6	1	6
B003-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	"--"	"--"	"--"	12	1	12
B003-3	Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	"--"	"--"	"--"	12	1	12
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	2	24
B029-1	Chardin Home 2 Piece Reversible Step Mat Set (17" x 24" & 17''x24''),White	B06X1981DQ	B06X1981DQ	EAN : 8902552048801	New	"--"	"--"	"--"	20	1	20
PM007	Chardin home Eco-Friendly Natural Jute/Cotton Set of 4 Placemats, Size: 13”x19”, Natural Jute/Ivory.	B07XPBTKNG	B07XPBTKNG	EAN : 8902552051757	New	"--"	"--"	"--"	20	1	20
R002-4	hardin Home - 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Brick Red & Ivory	B01MU2PYRM	B01MU2PYRM	EAN : 8902552049136	New	"--"	"--"	"--"	20	1	20
R002-5	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Navy/Ivory	B071ZZCJKH	B071ZZCJKH	EAN : 8902552048856	New	"--"	"--"	"--"	20	1	20
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	1	13
