Shipment ID	FBA15S85NBZX
Name	FBA (10/12/20, 10:18 PM) - 4
Plan ID	PLN338NN3S
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	1
Total Units	5
shipment-total-cases	1
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
R068-1	CHARDIN HOME: Miami 100% Cotton Area Rug - Hand Woven, Printed & Stone Washed Rug for Living Room, Bedroom, Study Room, Kids Room, Dorm Room. Size: 4’x6’ (48”x68”), Denim Blue/White	B086S2QVYH	X002I3J9HD	EAN : 0677355184954	New	"--"	"--"	Amazon	5	1	5
