Shipment ID	FBA15S8D5X8Z
Name	FBA (10/12/20, 10:18 PM) - 3
Plan ID	PLN338NN3S
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	15
Total Units	894
shipment-total-cases	76
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	3	18
B002-3	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	"--"	"--"	"--"	6	2	12
B002-6	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Mint-Green with Latex Spray Non-Skid Backing	B079YBVLXM	B079YBVLXM	EAN : 8902552050583	New	"--"	"--"	"--"	6	1	6
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	5	60
B003-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	"--"	"--"	"--"	12	47	564
B003-3	Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	"--"	"--"	"--"	12	1	12
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	2	24
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	2	24
B003-7	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	"--"	"--"	"--"	12	1	12
B036-4	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing.	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	"--"	"--"	"--"	20	1	20
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	3	36
PM003	Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13"x19"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	4	64
R002-8	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Neutral Gray	B074WHMGLH	B074WHMGLH	EAN : 8902552050033	New	"--"	"--"	"--"	10	1	10
R040-1	Chardin Home- Cairo: Hand Woven Recycled Cotton Rug, Gray/Ivory, Size 3’x5’. Machine Washable.	B086YCM2KH	B086YCM2KH	EAN : 0677355106246	New	"--"	"--"	"--"	6	1	6
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	2	26
