Shipment ID	FBA15SC4ZX2J
Name	FBA (10/14/20, 10:21 PM) - 1
Plan ID	PLN33J4FSX
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	12
Total Units	199
shipment-total-cases	16
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	3	18
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	1	12
B030-6	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Brown Beige, 24" W x 60'' L	B07TJVDZ7K	B07TJVDZ7K	EAN : 8902552051511	New	"--"	"--"	"--"	8	1	8
B035-1	Chardin home New Cordural Solid Bath Runner with Latex Spray Non-Skid Backing, 24" W x 60'' L, Gray	B0779GS3JJ	B0779GS3JJ	EAN : 8902552050286	New	"--"	"--"	"--"	8	1	8
B036-6	Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, Turquoise	B07VFX71JL	B07VFX71JL	EAN : 8902552051788	New	"--"	"--"	"--"	20	1	20
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	2	24
PM006	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Gray-Charcoal, 13''x19'')	B07P9HLP7Q	B07P9HLP7Q	EAN : 8902552051337	New	"--"	"--"	"--"	20	1	20
R002-5	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Navy/Ivory	B071ZZCJKH	B071ZZCJKH	EAN : 8902552048856	New	"--"	"--"	"--"	20	1	20
R002-8	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Neutral Gray	B074WHMGLH	B074WHMGLH	EAN : 8902552050033	New	"--"	"--"	"--"	10	2	20
R022-1	Chardin home Rainbow Shag Rug, 20" x 30", Multi-Colored (Multi)	B07CL7J1MN	B07CL7J1MN	EAN : 8902552050972	New	"--"	"--"	"--"	16	1	16
R037-1	Chardin Home- Cairo: Hand Woven Recycled Cotton Rug, Gray/Ivory, Size 2’x3’. Machine Washable.	B086YG1NKZ	B086YG1NKZ	EAN : 0677355114494	New	"--"	"--"	"--"	20	1	20
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	1	13
