Shipment ID	FBA15SKPT3DR
Name	FBA (10/20/20, 12:01 AM) - 1
Plan ID	PLN33ZDKMK
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	22
Total Units	656
shipment-total-cases	48
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	1	6
B002-3	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	"--"	"--"	"--"	6	1	6
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	2	24
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	3	36
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	3	36
B036-1	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Coral, with Latex Spray Non-Skid Backing.	B07VDS1JSP	B07VDS1JSP	EAN : 8902552051535	New	"--"	"--"	"--"	20	1	20
B036-4	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing.	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	"--"	"--"	"--"	20	1	20
B036-7	Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, White	B08CZLTT37	X002L2890J	EAN : 8903540506235	New	"--"	"--"	Merchant	20	2	40
B037-8	Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, Mat Size: 21''x34'', Burgundy	B08CZNB42T	X002L287LP	EAN : 8903540506280	New	"--"	"--"	Merchant	20	1	20
B039-4	Chardin home Highland Stripe Bathroom Rug with Latex Spray Non-Skid Backing, 20''x32'', Beige	B07X5VZWLH	B07X5VZWLH	EAN : 8902552051689	New	"--"	"--"	"--"	24	1	24
B045-1	Chardin Home - Chenille Shaggy Round Cotton Bathroom Rug with Transparent Latex Anti Skid Spray, 24 Inch Round, Turquoise,	B07XC68GDK	B07XC68GDK	EAN : 8902552054031	New	"--"	"--"	"--"	24	1	24
B051-3	Chardin Home – Bali Spa 100% Cotton Hand Woven Bathroom Rug Size 20”x30” Mint Green with Latex Spray Back	B07YZG5YPM	B07YZG5YPM	EAN : 8902552052198	New	"--"	"--"	"--"	20	1	20
B053-1	Chardin home Rainbow Shag Rug, 20" x 30", Denim Blue & White	B07Z3D8P3P	B07Z3D8P3P	EAN : 8902552052235	New	"--"	"--"	"--"	10	2	20
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	14	168
PM003	Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13"x19"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	2	32
PM006	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Gray-Charcoal, 13''x19'')	B07P9HLP7Q	B07P9HLP7Q	EAN : 8902552051337	New	"--"	"--"	"--"	20	1	20
R002-8	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Neutral Gray	B074WHMGLH	B074WHMGLH	EAN : 8902552050033	New	"--"	"--"	"--"	10	2	20
R033-1	Chardin Home- New Mexico: Hand Woven Recycled Cotton Rug. Machine Washable. Size: 2'x3', Sage Gray-Ivory	B086YB6877	B086YB6877	EAN : 0677355181687	New	"--"	"--"	"--"	26	1	26
R072-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (24''x36'')	B08D3NXRW4	X002L40RIT	EAN : 8903540506150	New	"--"	"--"	Merchant	18	1	18
R073-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (2'x5')	B08D3GNCDC	X002L40TDH	EAN : 8903540506167	New	"--"	"--"	Merchant	8	4	32
R075-3	Chardin Home - 100% Cotton Handwoven, Fully Reversible Rug for Your Bathroom, Kitchen, Bedroom & More. Size 21''x34'', Machine Washable, Beige & White	B08D32XBZX	X002L47RVJ		New	"--"	"--"	Merchant	18	1	18
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	2	26
