Shipment ID	FBA15SNPHXY8
Name	FBA (10/22/20, 9:57 AM) - 2
Plan ID	PLN34C976C
Ship To	LAS6, 4550 Nexus Way, Las Vegas, NV, US, 89115-1826
Total SKUs	2
Total Units	57
shipment-total-cases	9
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	3	9
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'x7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	"--"	"--"	"--"	8	6	48
