Shipment ID	FBA15SNPJ7B7
Name	FBA (10/22/20, 9:57 AM) - 3
Plan ID	PLN34C976C
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	11
Total Units	208
shipment-total-cases	14
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B003-3	Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	"--"	"--"	"--"	12	1	12
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	3	36
B003-7	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	"--"	"--"	"--"	12	1	12
B006-2	Chardin Home - 100% Pure Cotton Pebbles Bath Rug, Large, 27’’ W x 45’’ L, Gray-Beige – Easy Care Machine Wash	B00BS81QZ6	B00BS81QZ6	EAN : 8902552046791	New	"--"	"--"	"--"	10	1	10
B036-1	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Coral, with Latex Spray Non-Skid Backing.	B07VDS1JSP	B07VDS1JSP	EAN : 8902552051535	New	"--"	"--"	"--"	20	1	20
CU003-1	Chardin home – Diamond Design Black/Ivory 20" X20” Throw Pillow Covers (Set of 2).	B07P79C1Q6	B07P79C1Q6	EAN : 8902552051252	New	"--"	"--"	"--"	16	1	16
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	1	12
PM003	Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13"x19"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	2	32
PM006	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Gray-Charcoal, 13''x19'')	B07P9HLP7Q	B07P9HLP7Q	EAN : 8902552051337	New	"--"	"--"	"--"	20	1	20
R002-4	hardin Home - 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Brick Red & Ivory	B01MU2PYRM	B01MU2PYRM	EAN : 8902552049136	New	"--"	"--"	"--"	20	1	20
R072-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (24''x36'')	B08D3NXRW4	X002L40RIT	EAN : 8903540506150	New	"--"	"--"	Merchant	18	1	18
