Shipment ID	FBA15SNPJKV1
Name	FBA (10/22/20, 9:57 AM) - 1
Plan ID	PLN34C976C
Ship To	Amazon.com Services, Inc., 6000 Enterprise Avenue, Schertz, TX, US, 78154-1461
Total SKUs	2
Total Units	46
shipment-total-cases	7
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	2	6
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'x7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	"--"	"--"	"--"	8	5	40
