Shipment ID	FBA15SNQLLY4
Name	FBA (10/22/20, 9:57 AM) - 4
Plan ID	PLN34C976C
Ship To	ALB1, 1835 US Route 9, Castleton, NY, US, 12033-9634
Total SKUs	4
Total Units	65
shipment-total-cases	11
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	2	6
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'x7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	"--"	"--"	"--"	8	7	56
R003-2	Chardin home Rainbow Multi-Chindi and Natural Hemp Braid Rug, 6' Round	B06X1FDCQR	B06X1FDCQR	EAN : 8902552048870	New	"--"	"--"	"--"	1	1	1
R053-1	Chardin Home Designer rag (chindi) Rug 'City' - Eco Friendly Recycled Cotton Denim Reversible Area Rug, Navy, Denim Blue/White, Size 5'x8”.	B086YY3J5V	B086YY3J5V	EAN : 0677355110830	New	"--"	"--"	"--"	2	1	2
