Shipment ID	FBA15STTD65X
Name	FBA (10/29/20, 6:28 AM) - 1
Plan ID	PLN3531BY0
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	13
Total Units	261
shipment-total-cases	19
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	5	60
B006-2	Chardin Home - 100% Pure Cotton Pebbles Bath Rug, Large, 27’’ W x 45’’ L, Gray-Beige – Easy Care Machine Wash	B00BS81QZ6	B00BS81QZ6	EAN : 8902552046791	New	"--"	"--"	"--"	10	1	10
B007-4	Chardin Home Classic Bath Rug, Large 27"X45" Burgundy 100% Pure Cotton, Super Soft, Plush & Absorbent with Latex Spray Non-skid Backing	B01CCWBQ5Q	B01CCWBQ5Q	EAN : 8902552046999	New	"--"	"--"	"--"	10	1	10
B030-6	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Brown Beige, 24" W x 60'' L	B07TJVDZ7K	B07TJVDZ7K	EAN : 8902552051511	New	"--"	"--"	"--"	8	1	8
B055-1	Chardin Home Maui Bath Rug Runner, 24”x60”- Coastal Blue, Beige & White	B086ML3QG3	X002I1OF7T	EAN : 0677355186811	New	"--"	"--"	Merchant	6	1	6
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	1	12
PM003	Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13"x19"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	2	32
PM005	Chardin home 100% Cotton, Machine Washable, Handwoven Buffalo Check Placemats (Set of Four) for Dinner Parties & Holidays, Black & White (13''x19'')	B07P5ZJRFS	B07P5ZJRFS	EAN : 8902552051276	New	"--"	"--"	"--"	24	1	24
R002-2	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Opal Gray & White	B01H287HF8	B01H287HF8	EAN : 8902552048085	New	"--"	"--"	"--"	20	1	20
R035-1	Chardin Home- New Mexico: Hand Woven Recycled Cotton Runner Rug. Size: 2'x10', Sage Gray-Ivory	B086YSTL5R	B086YSTL5R	EAN : 0677355141506	New	"--"	"--"	"--"	6	1	6
TR001	Chardin Home Eco-friendly Natural Jute/hemp Table Runner, Size: 13”x72”	B074WHWSGM	B074WHWSGM	EAN : 8902552050118	New	"--"	"--"	"--"	20	2	40
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	1	13
TR005	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Gray-Charcoal, 13''x72'')	B07PBJP9VY	B07PBJP9VY	EAN : 8902552051351	New	"--"	"--"	"--"	20	1	20
