Shipment ID	FBA15T0K3BBZ
Name	FBA (11/3/20, 7:08 AM) - 2
Plan ID	PLN35GCJ9F
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	25
Total Units	569
shipment-total-cases	44
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	3	18
B002-7	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') (Lavender Gray and Coral Pink)	B07TLWQLS9	B07TLWQLS9	EAN : 8902552051481	New	"--"	"--"	"--"	6	1	6
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	3	36
B003-3	Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	"--"	"--"	"--"	12	2	24
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	3	36
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	1	12
B003-7	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	"--"	"--"	"--"	12	1	12
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'x7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	"--"	"--"	"--"	8	3	24
B027-1	Chardin home Newport Soft and Durable Tissue/Chenille Rug, Cotton Poly Blended Bathroom Mat or Accent Rug, 20" W x 32" L, Blue/White	B06X1CGW5P	B06X1CGW5P	EAN : 8902552049105	New	"--"	"--"	"--"	20	1	20
B029-1	Chardin Home 2 Piece Reversible Step Mat Set (17" x 24" & 17''x24''),White	B06X1981DQ	B06X1981DQ	EAN : 8902552048801	New	"--"	"--"	"--"	20	1	20
B036-6	Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, Turquoise	B07VFX71JL	B07VFX71JL	EAN : 8902552051788	New	"--"	"--"	"--"	20	1	20
B037-8	Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, Mat Size: 21''x34'', Burgundy	B08CZNB42T	X002L287LP	EAN : 8903540506280	New	"--"	"--"	Merchant	20	1	20
CU001-1	Chardin home Rainbow Eco Friendly Cotton Multi Rags Decorative Throw Pillow Covers, 24"x24" (Set of 2) (Multi)	B07P6C7T1W	B07P6C7T1W	EAN : 8902552051474	New	"--"	"--"	"--"	12	1	12
CU003-1	Chardin home – Diamond Design Black/Ivory 20" X20” Throw Pillow Covers (Set of 2).	B07P79C1Q6	B07P79C1Q6	EAN : 8902552051252	New	"--"	"--"	"--"	16	1	16
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	4	48
PM003	Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13"x19"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	2	32
PM006	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Gray-Charcoal, 13''x19'')	B07P9HLP7Q	B07P9HLP7Q	EAN : 8902552051337	New	"--"	"--"	"--"	20	1	20
R002-1	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Black & White	B01H27JW2U	B01H27JW2U	EAN : 8902552045992	New	"--"	"--"	"--"	20	1	20
R002-2	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Opal Gray & White	B01H287HF8	B01H287HF8	EAN : 8902552048085	New	"--"	"--"	"--"	20	1	20
R002-5	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Navy/Ivory	B071ZZCJKH	B071ZZCJKH	EAN : 8902552048856	New	"--"	"--"	"--"	20	1	20
R002-9	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Black-White	B074WJ8WMS	B074WJ8WMS	EAN : 8902552050040	New	"--"	"--"	"--"	10	6	60
R022-1	Chardin home Rainbow Shag Rug, 20" x 30", Multi-Colored (Multi)	B07CL7J1MN	B07CL7J1MN	EAN : 8902552050972	New	"--"	"--"	"--"	16	2	32
R073-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (2'x5')	B08D3GNCDC	X002L40TDH	EAN : 8903540506167	New	"--"	"--"	Merchant	8	1	8
TR001	Chardin Home Eco-friendly Natural Jute/hemp Table Runner, Size: 13”x72”	B074WHWSGM	B074WHWSGM	EAN : 8902552050118	New	"--"	"--"	"--"	20	1	20
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	1	13
