Shipment ID	FBA15T0K3BCM
Name	FBA (11/3/20, 7:08 AM) - 3
Plan ID	PLN35GCJ9F
Ship To	TPA3, 676 C Fred Jones Blvd, Auburndale, FL, US, 33823-9429
Total SKUs	2
Total Units	31
shipment-total-cases	3
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	1	3
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Size -15” Round, Color - Natural Jute. (15'' Round)	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	2	28
