Shipment ID	FBA15T8KBZX7
Name	FBA (11/10/20, 12:00 AM) - 2
Plan ID	PLN360W4PN
Ship To	TPA3, 676 C Fred Jones Blvd, Auburndale, FL, US, 33823-9429
Total SKUs	2
Total Units	15
shipment-total-cases	2
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	"--"	"--"	"--"	1	1	1
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Size -15” Round, Color - Natural Jute. (15'' Round)	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	1	14
