Shipment ID	FBA15T9QL092
Name	FBA (11/10/20, 9:26 PM) - 1
Plan ID	PLN365WZCM
Ship To	MEM6, 11505 Progress Way, OLIVE BRANCH, MS, US, 38654-2510
Total SKUs	2
Total Units	2
shipment-total-cases	2
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
CR002-1	Chardin Home – Placido Rug – Handwoven Wool Collection Area Rugs. Size: 5'x7', Color-Beige	B08MF66N9X	X002P67ZQP		New	"--"	"--"	Merchant	1	1	1
CR003-1	Chardin Home – Beachside Rug – Handwoven Wool Collection Area Rugs. Size: 5'x7', Color: Beige	B08MF6BMS2	X002P67ZLF		New	"--"	"--"	Merchant	1	1	1
