Shipment ID	FBA15T9SFLBV
Name	FBA (11/10/20, 9:26 PM) - 3
Plan ID	PLN365WZCM
Ship To	MCO2, 2600 N Normandy Blvd, Deltona, FL, US, 32725-2610
Total SKUs	4
Total Units	28
shipment-total-cases	4
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
CU008-1	Chardin home–Joanna Pillow Covers-Woven Tufted Decorative Throw Pillow Covers (Set of 2). Soft Warm Polyester Woven Square Pillow for Couch Sofa Bedroom Office Car, Size: 18”x18”, Ivory-Black	B08LKJH6NT	X002OQ3F8X		New	"--"	"--"	Merchant	10	1	10
CU009-1	Chardin home – Seasider Pillow Covers- Woven Tufted Decorative Throw Pillows Covers (Set of 2). Soft Warm Polyester Woven Square Pillow for Couch Sofa Bedroom Office Car, Size: 18”x18” -Denim Blue	B08LK2LT1L	X002OPSB8X		New	"--"	"--"	Merchant	10	1	10
CU011-1	Chardin home–Marina Pillow - Woven Tufted Decorative Throw Pillows Cover (Set of 2). Soft Warm Polyester Woven Square Pillow Covers for Couch Sofa Bedroom Office Car, Size: 18”x18”, White-Blue	B08LKC1KX8	X002OQ3FSN		New	"--"	"--"	Merchant	5	1	5
PL001-1	Chardin home – Infinity Pillow- Woven Tufted Decorative Throw Pillow. Soft Warm Cotton Woven Square Pillow for Couch Sofa Bedroom Office Car, Size: 18”x18” (45 x 45 cm), Black-White	B08KYLS3SM	X002OB5RCP		New	"--"	"--"	Merchant	3	1	3
