Shipment ID	FBA15TCSBWSG
Name	FBA (11/12/20, 12:38 AM) - 1
Plan ID	PLN36BSV0D
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	18
Total Units	316
shipment-total-cases	21
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-6	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Mint-Green with Latex Spray Non-Skid Backing	B079YBVLXM	B079YBVLXM	EAN : 8902552050583	New	"--"	"--"	"--"	6	1	6
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	1	12
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	1	12
B003-7	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	"--"	"--"	"--"	12	1	12
B027-2	Chardin home Newport Soft and Durable Tissue/Chenille Rug, Cotton Poly Blended Bathroom Mat or Accent Rug, 20" W x 32" L, Gray/White	B07KPYNH8L	B07KPYNH8L	EAN : 8902552051238	New	"--"	"--"	"--"	20	1	20
B036-7	Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, White	B08CZLTT37	X002L2890J	EAN : 8903540506235	New	"--"	"--"	Merchant	20	1	20
B036-8	Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, Burgundy	B08CZCG5HJ	X002L2XSBT	EAN : 8903540506242	New	"--"	"--"	Merchant	20	1	20
B037-9	Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, Mat Size: 21''x34'', Provencial Blue	B08CZMNGWB	X002L24MOV	EAN : 8903540506297	New	"--"	"--"	Merchant	20	1	20
B053-1	Chardin home Rainbow Shag Rug, 20" x 30", Denim Blue & White	B07Z3D8P3P	B07Z3D8P3P	EAN : 8902552052235	New	"--"	"--"	"--"	10	2	20
CU001-1	Chardin home Rainbow Eco Friendly Cotton Multi Rags Decorative Throw Pillow Covers, 24"x24" (Set of 2) (Multi)	B07P6C7T1W	B07P6C7T1W	EAN : 8902552051474	New	"--"	"--"	"--"	12	1	12
PM003	Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13"x19"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	3	48
PM006	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Gray-Charcoal, 13''x19'')	B07P9HLP7Q	B07P9HLP7Q	EAN : 8902552051337	New	"--"	"--"	"--"	20	1	20
R002-4	hardin Home - 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Brick Red & Ivory	B01MU2PYRM	B01MU2PYRM	EAN : 8902552049136	New	"--"	"--"	"--"	20	1	20
R002-5	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Navy/Ivory	B071ZZCJKH	B071ZZCJKH	EAN : 8902552048856	New	"--"	"--"	"--"	20	1	20
R022-1	Chardin home Rainbow Shag Rug, 20" x 30", Multi-Colored (Multi)	B07CL7J1MN	B07CL7J1MN	EAN : 8902552050972	New	"--"	"--"	"--"	16	1	16
R056-1	Chardin Home- Cabana Stripe : Hand Woven Recycled Cotton Area Rug Runner, (2'x8', Black-White)	B086YZZ365	B086YZZ365	EAN : 0677355173064	New	"--"	"--"	"--"	8	1	8
R064-1	Chardin Home- Scottish Plaid : Hand Woven Recycled Cotton Rug Runner, Black/White, Size 2'x5’. Machine Washable.	B086Z3XJTF	B086Z3XJTF	EAN : 0677355142435	New	"--"	"--"	"--"	12	1	12
R072-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (24''x36'')	B08D3NXRW4	X002L40RIT	EAN : 8903540506150	New	"--"	"--"	Merchant	18	1	18
