Shipment ID	FBA15TCX9FG5
Name	FBA (11/12/20, 12:38 AM) - 2
Plan ID	PLN36BSV0D
Ship To	ORD2, 23714 W Amoco Rd, CHANNAHON, IL, US, 60410-8758
Total SKUs	2
Total Units	15
shipment-total-cases	5
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	4	12
R031-1	Chardin Home Eco Friendly 100% Recycled Leather Area Rug, Tan Brown - 5'X7'.	B07Z23SKN3	B07Z23SKN3	EAN : 8902552052136	New	"--"	"--"	"--"	3	1	3
