Shipment ID	FBA15TD7LHX0
Name	FBA (11/12/20, 6:18 AM) - 1
Plan ID	PLN36D3NY8
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	18
Total Units	206
shipment-total-cases	18
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-1	Chardin Home - 100% PureChardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3435W	B01CA3435W	EAN : 8902552045930	New	"--"	"--"	"--"	6	1	6
B002-4	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Gray-Charcoal with Latex Spray Non-Skid Backing	B01C78C62M	B01C78C62M	EAN : 8902552046876	New	"--"	"--"	"--"	6	1	6
B002-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Blues with Latex Spray Non-Skid Backing	B01LWQH0JV	B01LWQH0JV	EAN : 8902552048122	New	"--"	"--"	"--"	6	1	6
B015-15	Chardin home 100% Cotton Two Piece Classicc Bath Rug Set, (21''x34'' and 17''x24'') with Anti-Skid Spray Latex Back, Nutmeg Brown	B07BDYJS7T	B07BDYJS7T	EAN : 8902552051078	New	"--"	"--"	"--"	12	1	12
B015-3	Chardin Home - 100% Cotton Two Piece Classic Bath Rug Set, (21''x34'' & 17''x24'') with Anti-Skid Spray Latex Back, 21''x34''/17''x24'', Burgundy	B01LXDD7MA	B01LXDD7MA	EAN : 8902552048184	New	"--"	"--"	"--"	12	1	12
B030-1	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Blues, 24" W x 60'' L	B06WP9ND12	B06WP9ND12	EAN : 8902552049891	New	"--"	"--"	"--"	8	1	8
B030-2	Chardin Home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Turquoise, 24" W x 60'' L	B06W9NMBL2	B06W9NMBL2	EAN : 8902552049907	New	"--"	"--"	"--"	8	1	8
B030-3	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Gray-Beige, 24" W x 60'' L	B06W5GL4H3	B06W5GL4H3	EAN : 8902552049914	New	"--"	"--"	"--"	8	1	8
B030-4	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath. Mint Green, 24" W x 60'' L	B079YL29RF	B079YL29RF	EAN : 8902552050576	New	"--"	"--"	"--"	8	1	8
B031-2	Chardin home 2 Piece 100% Cotton Classic Bath Rug Set With Anti Skid Spray, 17'' W x 24'' L, Latex Back/Burgundy	B077J3ZLMT	B077J3ZLMT	EAN : 8902552050415	New	"--"	"--"	"--"	16	1	16
B031-4	Chardin home 100% Cotton two Piece Classic Bath Rug Set, (17''x24''& 17''x24'') with anti-skid spray latex back, Blush	B077J1Z3NY	B077J1Z3NY	EAN : 8902552050439	New	"--"	"--"	"--"	16	1	16
B036-2	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Pink, with Latex Spray Non-Skid Backing.	B07VFVMPGS	B07VFVMPGS	EAN : 8902552051542	New	"--"	"--"	"--"	20	1	20
B036-3	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Griffin Gray with Latex Spray Non-Skid Backing.	B07VFTNYMH	B07VFTNYMH	EAN : 8902552051559	New	"--"	"--"	"--"	20	1	20
B036-5	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Aqua Blue with Latex Spray Non-Skid Backing.	B07VFWZ6Z9	B07VFWZ6Z9	EAN : 8902552051771	New	"--"	"--"	"--"	20	1	20
B040-3	Chardin home Highland Stripe Bathroom Rug with Latex Spray Non-Skid Backing, 20''x48'', Provencial Blue	B07X61YK6V	B07X61YK6V	EAN : 8902552051719	New	"--"	"--"	"--"	12	1	12
B046-2	Chardin Home - 100% Pure Cotton - 2 Piece Manhattan Stripe Bathroom Rug Set with Anti Skid Spray Latex Underneath (21''x34'' & 17''x24'') Grey & White	B07YYD3YMZ	B07YYD3YMZ	EAN : 8902552051979	New	"--"	"--"	"--"	12	1	12
B047-1	Chardin Home - Manhattan Stripe Bathroom Runner Rug, Aqua Blue-White (Pantone 14-4809 Tpx) with Latex Spray Non-Skid Backing, 24" W x 60'' L Product Name	B07YYFB3GH	B07YYFB3GH	EAN : 8902552051993	New	"--"	"--"	"--"	8	1	8
B047-3	Chardin Home - Manhattan Stripe Bathroom Runner Rug, Medium Blue-White (Pantone 17-4020 Tpx) with Latex Spray Non-Skid Backing, 24" W x 60'' L	B07YYF84R1	B07YYF84R1	EAN : 8902552052013	New	"--"	"--"	"--"	8	1	8
