Shipment ID	FBA15TFLFLG4
Name	FBA (11/13/20, 2:51 AM) - 2
Plan ID	PLN36H0G3B
Ship To	GSO1, 1656 OLD GREENSBORO RD, KERNERSVILLE, NC, US, 27284-6855
Total SKUs	1
Total Units	4
shipment-total-cases	1
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	4	1	4
