Shipment ID	FBA15TFP59F9
Name	FBA (11/13/20, 2:51 AM) - 1
Plan ID	PLN36H0G3B
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	16
Total Units	363
shipment-total-cases	32
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B001-4	Chardin home 2 Piece Arizona Reversible Bath Rug Set (21"x34" & 17"x24") (Provencial Blue)	B01CA1LUTG	B01CA1LUTG	EAN : 8902552046951	New	"--"	"--"	"--"	12	1	12
B001-5	Chardin Home 2 piece Arizona Reversible bath rug set (21"x34" & 17"x24"), white	B01CA1OTMG	B01CA1OTMG	EAN : 8902552045961	New	"--"	"--"	"--"	12	1	12
B025-4	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 3'X5'	B074WJ2DBY	B074WJ2DBY	EAN : 8902552050088	New	"--"	"--"	"--"	6	4	24
CU002-1	Chardin home Eco Friendly Cotton Denim Rags Decorative Throw Pillow Covers, 24"x24" (Set of 2), Color: Denim Blue	B07PBJ9THJ	B07PBJ9THJ	EAN : 8902552051245	New	"--"	"--"	"--"	10	1	10
PM001	Chardin Home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19".	B074WJ8WLM	B074WJ8WLM	EAN : 8902552050101	New	"--"	"--"	"--"	20	2	40
PM005	Chardin home 100% Cotton, Machine Washable, Handwoven Buffalo Check Placemats (Set of Four) for Dinner Parties & Holidays, Black & White (13''x19'')	B07P5ZJRFS	B07P5ZJRFS	EAN : 8902552051276	New	"--"	"--"	"--"	24	2	48
PM007	Chardin home Eco-Friendly Natural Jute/Cotton Set of 4 Placemats, Size: 13”x19”, Natural Jute/Ivory.	B07XPBTKNG	B07XPBTKNG	EAN : 8902552051757	New	"--"	"--"	"--"	20	2	40
R002-10	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, Opal Gray and White	B074WHRYKD	B074WHRYKD	EAN : 8902552050057	New	"--"	"--"	"--"	9	3	27
R002-11	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Black and White)	B074WJ4MPS	B074WJ4MPS	EAN : 8902552050064	New	"--"	"--"	"--"	9	2	18
R002-15	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Turquoise and White)	B07F3GDPDC	B07F3GDPDC	EAN : 8902552051092	New	"--"	"--"	"--"	9	1	9
R002-16	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Navy and Ivory)	B07F393H9L	B07F393H9L	EAN : 8902552051108	New	"--"	"--"	"--"	9	1	9
R002-18	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Navy Ivory	B07F3C162G	B07F3C162G	EAN : 8902552051122	New	"--"	"--"	"--"	10	3	30
R002-19	Chardin Home 100% Cotton Diamond Rug Fully Reversible, Mat Size - 2'x5', Machine Washable (Taupe and White)	B07TR558GF	B07TR558GF	EAN : 8902552051733	New	"--"	"--"	"--"	10	2	20
R002-8	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Opal Gray	B074WHMGLH	B074WHMGLH	EAN : 8902552050033	New	"--"	"--"	"--"	10	3	30
R002-9	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Black-White	B074WJ8WMS	B074WJ8WMS	EAN : 8902552050040	New	"--"	"--"	"--"	10	3	30
R005-2	Chardin home Cotton Denim Jute Rug. Size: 4'x6'	B075766WVV	B075766WVV	EAN : 8902552050194	New	"--"	"--"	"--"	4	1	4
