Shipment ID	FBA15TLQGHZ1
Name	FBA (11/17/20, 3:11 AM) - 3
Plan ID	PLN36RSP22
Ship To	GSO1, 1656 OLD GREENSBORO RD, KERNERSVILLE, NC, US, 27284-6855
Total SKUs	3
Total Units	107
shipment-total-cases	9
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	1	3
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Size -15” Round, Color - Natural Jute. (15'' Round)	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	7	98
R045-1	Chardin Home – Eco Friendly Denim chindi (rag) Checkers Design - Reversible Runner Area Rug: 100% Recycled Denim & Cotton, Size: 2'x5' with Braided Fringes, Color Denim Blue/Off White.	B086YTJH9M	B086YTJH9M	EAN : 0677355119116	New	"--"	"--"	"--"	6	1	6
