Shipment ID	FBA15TLX47JW
Name	FBA (11/17/20, 3:11 AM) - 4
Plan ID	PLN36RSP22
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	30
Total Units	777
shipment-total-cases	68
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-3	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	"--"	"--"	"--"	6	1	6
B003-3	Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	"--"	"--"	"--"	12	1	12
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	4	48
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	4	48
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	3	36
B003-7	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	"--"	"--"	"--"	12	1	12
B007-4	Chardin Home Classic Bath Rug, Large 27"X45" Burgundy 100% Pure Cotton, Super Soft, Plush & Absorbent with Latex Spray Non-skid Backing	B01CCWBQ5Q	B01CCWBQ5Q	EAN : 8902552046999	New	"--"	"--"	"--"	10	1	10
B025-4	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 3'X5'	B074WJ2DBY	B074WJ2DBY	EAN : 8902552050088	New	"--"	"--"	"--"	6	4	24
B030-6	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Brown Beige, 24" W x 60'' L	B07TJVDZ7K	B07TJVDZ7K	EAN : 8902552051511	New	"--"	"--"	"--"	8	1	8
B036-4	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing.	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	"--"	"--"	"--"	20	1	20
CU003-1	Chardin home – Diamond Design Black/Ivory 20" X20” Throw Pillow Covers (Set of 2).	B07P79C1Q6	B07P79C1Q6	EAN : 8902552051252	New	"--"	"--"	"--"	16	1	16
PM005	Chardin home 100% Cotton, Machine Washable, Handwoven Buffalo Check Placemats (Set of Four) for Dinner Parties & Holidays, Black & White (13''x19'')	B07P5ZJRFS	B07P5ZJRFS	EAN : 8902552051276	New	"--"	"--"	"--"	24	1	24
PM006	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Gray-Charcoal, 13''x19'')	B07P9HLP7Q	B07P9HLP7Q	EAN : 8902552051337	New	"--"	"--"	"--"	20	1	20
PM006-1	Chardin home Eco-Friendly Natural Jute/Hemp Placemats (Set of 4 mats). Size: 13" X 19" (Natural-Aqua Turquoise, 13''x19'')	B07P8DCVLW	B07P8DCVLW	EAN : 8902552051344	New	"--"	"--"	"--"	20	1	20
PM007	Chardin home Eco-Friendly Natural Jute/Cotton Set of 4 Placemats, Size: 13”x19”, Natural Jute/Ivory.	B07XPBTKNG	B07XPBTKNG	EAN : 8902552051757	New	"--"	"--"	"--"	20	1	20
PM013-1	Chardin Home – Eco-Friendly Recycled Leather placemats (Set of mats - Size 13”x19”, Tan Brown.	B07YZPB46C	B07YZPB46C	EAN : 8902552052099	New	"--"	"--"	"--"	12	1	12
R002-10	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, Opal Gray and White	B074WHRYKD	B074WHRYKD	EAN : 8902552050057	New	"--"	"--"	"--"	9	4	36
R002-11	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Black and White)	B074WJ4MPS	B074WJ4MPS	EAN : 8902552050064	New	"--"	"--"	"--"	9	4	36
R002-15	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Turquoise and White)	B07F3GDPDC	B07F3GDPDC	EAN : 8902552051092	New	"--"	"--"	"--"	9	1	9
R002-16	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Navy and Ivory)	B07F393H9L	B07F393H9L	EAN : 8902552051108	New	"--"	"--"	"--"	9	2	18
R002-18	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Navy Ivory	B07F3C162G	B07F3C162G	EAN : 8902552051122	New	"--"	"--"	"--"	10	3	30
R002-19	Chardin Home 100% Cotton Diamond Rug Fully Reversible, Mat Size - 2'x5', Machine Washable (Taupe and White)	B07TR558GF	B07TR558GF	EAN : 8902552051733	New	"--"	"--"	"--"	10	2	20
R002-5	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Navy/Ivory	B071ZZCJKH	B071ZZCJKH	EAN : 8902552048856	New	"--"	"--"	"--"	20	1	20
R002-8	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Opal Gray	B074WHMGLH	B074WHMGLH	EAN : 8902552050033	New	"--"	"--"	"--"	10	8	80
R002-9	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Black-White	B074WJ8WMS	B074WJ8WMS	EAN : 8902552050040	New	"--"	"--"	"--"	10	10	100
