Shipment ID	FBA15TRFTPXB
Name	FBA (11/19/20, 9:16 PM) - 1
Plan ID	PLN370QJG9
Ship To	TPA3, 676 C Fred Jones Blvd, Auburndale, FL, US, 33823-9429
Total SKUs	3
Total Units	20
shipment-total-cases	13
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	2	6
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	"--"	"--"	"--"	1	10	10
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	4	1	4
