Shipment ID	FBA15V0G9JNZ
Name	FBA (11/26/20, 11:30 PM) - 3
Plan ID	PLN37NY6LL
Ship To	ALB1, 1835 US Route 9, Castleton, NY, US, 12033-9634
Total SKUs	3
Total Units	91
shipment-total-cases	13
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	"--"	"--"	"--"	1	5	5
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Color - Natural Jute. Size: 15'' Round	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	6	84
R003-2	Chardin home Rainbow Multi-Chindi and Natural Hemp Braid Rug, 6' Round	B06X1FDCQR	B06X1FDCQR	EAN : 8902552048870	New	"--"	"--"	"--"	1	2	2
