Shipment ID	FBA15V0G9PMJ
Name	FBA (11/26/20, 11:30 PM) - 2
Plan ID	PLN37NY6LL
Ship To	LAS6, 4550 Nexus Way, Las Vegas, NV, US, 89115-1826
Total SKUs	2
Total Units	127
shipment-total-cases	10
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Color - Natural Jute. Size: 15'' Round	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	9	126
R003-2	Chardin home Rainbow Multi-Chindi and Natural Hemp Braid Rug, 6' Round	B06X1FDCQR	B06X1FDCQR	EAN : 8902552048870	New	"--"	"--"	"--"	1	1	1
