Shipment ID	FBA15V0JYBQD											
Name	"FBA (11/26/20, 11:30 PM) - 1"											
Plan ID	PLN37NY6LL											
Ship To	"SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202"											
Total SKUs	30											
Total Units	699											
shipment-total-cases	49											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
B002-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing"	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	--	--	--	6	1	6	
B002-3	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise"	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	--	--	--	6	1	6	
B002-7	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') (Lavender Gray and Coral Pink)"	B07TLWQLS9	B07TLWQLS9	EAN : 8902552051481	New	--	--	--	6	1	6	
B003-1	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing"	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	--	--	--	12	2	24	
B003-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing"	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	--	--	--	12	11	132	
B003-3	"Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal"	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	--	--	--	12	1	12	
B003-4	"100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing"	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	--	--	--	12	1	12	
B003-5	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing"	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	--	--	--	12	2	24	
B003-6	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing"	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	--	--	--	12	3	36	
B007-4	"Chardin Home Classic Bath Rug, Large 27""X45"" Burgundy 100% Pure Cotton, Super Soft, Plush & Absorbent with Latex Spray Non-skid Backing"	B01CCWBQ5Q	B01CCWBQ5Q	EAN : 8902552046999	New	--	--	--	10	1	10	
