Shipment ID	FBA15V4Q141W
Name	FBA (12/1/20, 6:45 AM) - 2
Plan ID	PLN38060KK
Ship To	MGE3, 808 Hog Mountain Road, Jefferson, GA, US, 30549-2010
Total SKUs	1
Total Units	18
shipment-total-cases	6
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	6	18
