Shipment ID	FBA15V85D84Q
Name	FBA (12/3/20, 7:17 AM) - 1
Plan ID	PLN3896GMD
Ship To	Amazon.com Services, Inc., 6050 Gateway Court, Groveport, OH, US, 43125-9016
Total SKUs	4
Total Units	26
shipment-total-cases	8
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	4	12
R003-2	Chardin home Rainbow Multi-Chindi and Natural Hemp Braid Rug, 6' Round	B06X1FDCQR	B06X1FDCQR	EAN : 8902552048870	New	"--"	"--"	"--"	1	2	2
R024-1	Chardin home Farmhouse Jute Braid Oval Rug - 3' Round, Color: Natural Jute	B07CJL9Y34	B07CJL9Y34	EAN : 8902552050996	New	"--"	"--"	"--"	6	1	6
R045-1	Chardin Home – Eco Friendly Denim chindi (rag) Checkers Design - Reversible Runner Area Rug: 100% Recycled Denim & Cotton, Size: 2'x5' with Braided Fringes, Color Denim Blue/Off White.	B086YTJH9M	B086YTJH9M	EAN : 0677355119116	New	"--"	"--"	"--"	6	1	6
