Shipment ID	FBA15V85FC0D
Name	FBA (12/3/20, 7:17 AM) - 3
Plan ID	PLN3896GMD
Ship To	Amazon.com Services, Inc., 6000 Enterprise Avenue, Schertz, TX, US, 78154-1461
Total SKUs	3
Total Units	16
shipment-total-cases	5
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-1	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug – 5’x7’	B01KZRZMZU	B01KZRZMZU	EAN : 8902552048658	New	"--"	"--"	"--"	3	3	9
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	4	1	4
R074-1	Chardin home Rainbow Shag Rug, 3’ x 5’, Multi-Colored (Multi)	B08D3KXFR3	X002L40NEH		New	"--"	"--"	Merchant	3	1	3
