Shipment ID	FBA15V88T35B
Name	FBA (12/3/20, 7:17 AM) - 2
Plan ID	PLN3896GMD
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	26
Total Units	808
shipment-total-cases	68
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	1	6
B002-3	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	"--"	"--"	"--"	6	3	18
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	2	24
B003-3	Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	"--"	"--"	"--"	12	3	36
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	2	24
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	1	12
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	3	36
B030-1	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Blues, 24" W x 60'' L	B06WP9ND12	B06WP9ND12	EAN : 8902552049891	New	"--"	"--"	"--"	8	3	24
B030-2	Chardin Home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Turquoise, 24" W x 60'' L	B06W9NMBL2	B06W9NMBL2	EAN : 8902552049907	New	"--"	"--"	"--"	8	3	24
B030-3	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Gray-Beige, 24" W x 60'' L	B06W5GL4H3	B06W5GL4H3	EAN : 8902552049914	New	"--"	"--"	"--"	8	3	24
B030-4	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath. Mint Green, 24" W x 60'' L	B079YL29RF	B079YL29RF	EAN : 8902552050576	New	"--"	"--"	"--"	8	3	24
B030-6	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Brown Beige, 24" W x 60'' L	B07TJVDZ7K	B07TJVDZ7K	EAN : 8902552051511	New	"--"	"--"	"--"	8	1	8
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	18	216
