Shipment ID	FBA15VGNWK7G
Name	FBA (12/7/20, 5:28 AM) - 1
Plan ID	PLN38LH1FR
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	37
Total Units	1463
shipment-total-cases	130
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
40-A3NT-XOEA	Chardin home – Westside – Cotton/Polyester Placemats for Dinner Parties, Picnics, Special Occasions and Everyday use – Size: 13”X19, Natural-Silver, Set of 4	B08LYY1BLJ	X002OYSTIB		New	"--"	"--"	Merchant	12	1	12
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	4	24
B002-3	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	"--"	"--"	"--"	6	1	6
B002-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Blues with Latex Spray Non-Skid Backing	B01LWQH0JV	B01LWQH0JV	EAN : 8902552048122	New	"--"	"--"	"--"	6	1	6
B002-6	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Mint-Green with Latex Spray Non-Skid Backing	B079YBVLXM	B079YBVLXM	EAN : 8902552050583	New	"--"	"--"	"--"	6	1	6
B003-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing, Machine Washable	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	"--"	"--"	"--"	12	13	156
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	4	48
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	3	36
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	3	36
B003-7	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	"--"	"--"	"--"	12	2	24
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'x7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	"--"	"--"	"--"	7	34	238
B036-4	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing.	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	"--"	"--"	"--"	20	2	40
B036-9	Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, Provencial Blue	B08CZS7K2T	X002L2XS5P	EAN : 8903540506259	New	"--"	"--"	Merchant	20	1	20
B037-7	Chardin Home - 100% Pure Cotton - Crochet Oval Bath Rug with Latex Spray Non-Skid Backing, 21''x34'', White	B08CZLTVVT	X002L2882N	EAN : 8903540506273	New	"--"	"--"	Merchant	20	2	40
