Shipment ID	FBA15VW3WRWQ											
Name	"FBA (12/14/20, 3:45 AM) - 1"											
Plan ID	PLN39B5NZ4											
Ship To	"SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202"											
Total SKUs	24											
Total Units	544											
shipment-total-cases	43											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
B001-5	"Chardin Home 2 piece Arizona Reversible bath rug set (21""x34"" & 17""x24""), white"	B01CA1OTMG	B01CA1OTMG	EAN : 8902552045961	New	--	--	--	12	1	12	
B003-1	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing"	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	--	--	--	12	1	12	
B003-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing, Machine Washable"	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	--	--	--	12	9	108	
B003-3	"Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal"	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	--	--	--	12	1	12	
B003-6	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing"	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	--	--	--	12	1	12	
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'x7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	--	--	--	7	10	70	
B027-1	"Chardin home Newport Soft and Durable Tissue/Chenille Rug, Cotton Poly Blended Bathroom Mat or Accent Rug, 20"" W x 32"" L, Blue/White"	B06X1CGW5P	B06X1CGW5P	EAN : 8902552049105	New	--	--	--	20	1	20	
B029-1	"Chardin Home - Reversible 2 Pieces Bath Rug Set (17""x24"" & 17""x24""), White, Machine Washable"	B06X1981DQ	B06X1981DQ	EAN : 8902552048801	New	--	--	--	20	1	20	
B030-6	"Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Brown Beige, 24"" W x 60'' L"	B07TJVDZ7K	B07TJVDZ7K	EAN : 8902552051511	New	--	--	--	8	1	8	
B035-1	"Chardin home New Cordural Solid Bath Runner with Latex Spray Non-Skid Backing, 24"" W x 60'' L, Gray"	B0779GS3JJ	B0779GS3JJ	EAN : 8902552050286	New	--	--	--	8	1	8	
B036-2	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Pink, with Latex Spray Non-Skid Backing."	B07VFVMPGS	B07VFVMPGS	EAN : 8902552051542	New	--	--	--	20	1	20	
B036-4	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing."	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	--	--	--	20	1	20	
B036-6	"Chardin Home - 100% Pure Cotton Crochet Bath Rug, 24'' Round Mat with Latex Spray Non-Skid Backing, Turquoise"	B07VFX71JL	B07VFX71JL	EAN : 8902552051788	New	--	--	--	20	1	20	
B040-1	"Chardin home Highland Stripe Bathroom Rug with Latex Spray Non-Skid Backing, 20''x48'', White"	B07X2YVX3Z	B07X2YVX3Z	EAN : 8902552051696	New	--	--	--	12	1	12	
B044-1	"Chardin Home - Chenille Shaggy Borders Cotton Bathroom Rug and Contour Set with Latex Anti Skid Back, 20""x30""/20""x19"", Sage Green"	B07X5YDBQ8	B07X5YDBQ8	EAN : 8902552054000	New	--	--	--	16	1	16	
B045-2	"Chardin Home - Chenille Shaggy Round Bathroom Rug with Latex Anti Skid Back, 24 Inch Round, Purple/Egg Plant"	B07XD98J89	B07XD98J89	EAN : 8902552054048	New	--	--	--	24	1	24	
PM003	"Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13""x19"""	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	--	--	--	16	3	48	
PM009-1	"Chardin home 100% Natural Jute Burlap Fringe, Rustic, Vintage Placemats, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats-13''x19'', Natural"	B08MDX49QY	X002P66L5V		New	--	--	Merchant	35	1	35	
PM010-1	"Chardin home 100% Natural Jute Burlap Round Pleated, Rustic, Vintage Placemats for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats. Size: 15” Round, Natural"	B08MC5H7HS	X002P4KKKP		New	--	--	Merchant	25	1	25	
R002-15	"Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Turquoise and White)"	B07F3GDPDC	B07F3GDPDC	EAN : 8902552051092	New	--	--	--	9	1	9	Kindly arrange to send 9 pcs in a box
R002-20	"Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Taupe-White)"	B07TKV11VL	B07TKV11VL	EAN : 8902552051740	New	--	--	--	5	1	5	Kindly arrange to send 5 pcs in a box
R035-1	"Chardin Home- New Mexico: Hand Woven Recycled Cotton Runner Rug. Size: 2'x10', Sage Gray-Ivory"	B086YSTL5R	B086YSTL5R	EAN : 0677355141506	New	--	--	--	6	1	6	
R037-1	"Chardin Home- Cairo: Hand Woven Recycled Cotton Rug, Gray/Ivory, Size 2’x3’. Machine Washable."	B086YG1NKZ	B086YG1NKZ	EAN : 0677355114494	New	--	--	--	7	1	7	Kindly arrange to send 7 pcs in a box
TR003	"Chardin home Eco Friendly Rainbow Multi Chindi Colorful Table Runner. Size: 13''x72'', Multi Color"	B076Y35RVQ	B076Y35RVQ	EAN : 8902552050217	New	--	--	--	15	1	15	
