Shipment ID	FBA15WQ71QRR
Name	FBA (12/28/20, 5:02 AM) - 2
Plan ID	PLN3BMVB0F
Ship To	Amazon.com Services, Inc., 6050 Gateway Court, Groveport, OH, US, 43125-9016
Total SKUs	4
Total Units	22
shipment-total-cases	6
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	"--"	"--"	"--"	1	2	2
CU009-1	Chardin home – Seasider Pillow Covers- Woven Tufted Decorative Throw Pillows Covers (Set of 2). Soft Warm Polyester Woven Square Pillow for Couch Sofa Bedroom Office Car, Size: 18”x18” -Denim Blue	B08LK2LT1L	X002OPSB8X		New	"--"	"--"	Merchant	10	1	10
R003-1	Chardin home Rainbow Multi Chindi and Natural Hemp Braid Rug, 4' Round	B06VXZL35Z	B06VXZL35Z	EAN : 8902552048863	New	"--"	"--"	"--"	4	2	8
R047-1	Chardin Home – Eco Friendly Checkers Area Rug: 100% Recycled Denim & Cotton, Size: 5'x7' Plus Fringes, Color Denim Blue/Off White.	B086YXCLLF	B086YXCLLF	EAN : 0677355167162	New	"--"	"--"	"--"	2	1	2
