Shipment ID	FBA15WQ8LBBZ
Name	FBA (12/28/20, 5:02 AM) - 1
Plan ID	PLN3BMVB0F
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	41
Total Units	1285
shipment-total-cases	105
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B001-5	Chardin Home 2 piece Arizona Reversible bath rug set (21"x34" & 17"x24"), white	B01CA1OTMG	B01CA1OTMG	EAN : 8902552045961	New	"--"	"--"	"--"	12	1	12
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	2	12
B002-3	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	"--"	"--"	"--"	6	1	6
B002-7	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') (Lavender Gray and Coral Pink)	B07TLWQLS9	B07TLWQLS9	EAN : 8902552051481	New	"--"	"--"	"--"	6	1	6
B003-1	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	"--"	"--"	"--"	12	2	24
B003-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing, Machine Washable	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	"--"	"--"	"--"	12	30	360
B003-3	Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	"--"	"--"	"--"	12	3	36
B003-4	100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	"--"	"--"	"--"	12	4	48
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	5	60
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	6	72
B015-3	Chardin Home - 100% Cotton Two Piece Classic Bath Rug Set, (21''x34'' & 17''x24'') with Anti-Skid Spray Latex Back, 21''x34''/17''x24'', Burgundy	B01LXDD7MA	B01LXDD7MA	EAN : 8902552048184	New	"--"	"--"	"--"	12	1	12
B030-1	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Blues, 24" W x 60'' L	B06WP9ND12	B06WP9ND12	EAN : 8902552049891	New	"--"	"--"	"--"	8	1	8
B030-2	Chardin Home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Turquoise, 24" W x 60'' L	B06W9NMBL2	B06W9NMBL2	EAN : 8902552049907	New	"--"	"--"	"--"	8	3	24
B030-3	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Gray-Beige, 24" W x 60'' L	B06W5GL4H3	B06W5GL4H3	EAN : 8902552049914	New	"--"	"--"	"--"	8	4	32
B030-5	Chardin home Cordural Stripe Bath Runner, Lavender Gray and Coral Pink with Latex Spray Non-Skid Backing, 24" W x 60'' L	B07TJTHX9Z	B07TJTHX9Z	EAN : 8902552051504	New	"--"	"--"	"--"	8	1	8
B030-6	Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Brown Beige, 24" W x 60'' L	B07TJVDZ7K	B07TJVDZ7K	EAN : 8902552051511	New	"--"	"--"	"--"	8	1	8
B036-2	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Pink, with Latex Spray Non-Skid Backing.	B07VFVMPGS	B07VFVMPGS	EAN : 8902552051542	New	"--"	"--"	"--"	20	1	20
B036-3	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Griffin Gray with Latex Spray Non-Skid Backing.	B07VFTNYMH	B07VFTNYMH	EAN : 8902552051559	New	"--"	"--"	"--"	20	2	40
B036-5	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Aqua Blue with Latex Spray Non-Skid Backing.	B07VFWZ6Z9	B07VFWZ6Z9	EAN : 8902552051771	New	"--"	"--"	"--"	20	1	20
B063-1	Chardin Home Soft Microfiber Polyester Spa Mat, Plush Water Absorbent Accent Rug for Bathroom Vanity, Bathtub/Shower – Flower Design – Size: 27”x27”, Machine Washable - Gray	B08KY9G9YH	X002OAKQ3B		New	"--"	"--"	Merchant	16	1	16
CU001-1	Chardin home Rainbow Eco Friendly Cotton Multi Rags Decorative Throw Pillow Covers, 24"x24" (Set of 2) (Multi)	B07P6C7T1W	B07P6C7T1W	EAN : 8902552051474	New	"--"	"--"	"--"	12	1	12
CU004-1	Chardin home Pack of 2 Decorative Farmhouse Throw Pillow Covers Jute Burlap Fringe Pillowcases for Couch Sofa Bedroom, 18 x 18 Inch, Natural Jute Color.: Natural	B08N6PRWXH	X002PIYC73		New	"--"	"--"	Merchant	15	1	15
CU015-1	Chardin home Pack of 2 Decorative Farmhouse Throw Pillow Covers Jute Burlap Natural Pleated Ruffled Pillowcases for Couch Sofa Bedroom, 18 x 18 Inch, Natural Jute Color: Natural	B08N6RFSN1	X002PJ690P		New	"--"	"--"	Merchant	15	1	15
PM003	Chardin home Eco Friendly Rainbow Multi Chindi Placemats (Set of 4 mats), Size: 13"x19"	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	2	32
PM009-1	Chardin home 100% Natural Jute Burlap Fringe, Rustic, Vintage Placemats, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats-13''x19'', Natural	B08MDX49QY	X002P66L5V		New	"--"	"--"	Merchant	35	1	35
PM010-1	Chardin home 100% Natural Jute Burlap Round Pleated, Rustic, Vintage Placemats for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 4 placemats. Size: 15” Round, Natural	B08MC5H7HS	X002P4KKKP		New	"--"	"--"	Merchant	25	1	25
PM013-1	Chardin Home – Eco-Friendly Recycled Leather placemats (Set of mats - Size 13”x19”, Tan Brown.	B07YZPB46C	B07YZPB46C	EAN : 8902552052099	New	"--"	"--"	"--"	12	1	12
PM014-1	Chardin home – Carmel: Eco Friendly Cotton/Jute Placemats (Set of 4), Size: 13''x19''.	B0874BN4QW	B0874BN4QW	EAN : 0677355185593	New	"--"	"--"	"--"	8	1	8
R002-1	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Black & White	B01H27JW2U	B01H27JW2U	EAN : 8902552045992	New	"--"	"--"	"--"	20	1	20
R002-11	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Black and White)	B074WJ4MPS	B074WJ4MPS	EAN : 8902552050064	New	"--"	"--"	"--"	9	2	18
R002-16	Chardin home 100% Cotton Diamond Area Rug Fully Reversible, Size - 3'x5', Machine Washable, (Navy and Ivory)	B07F393H9L	B07F393H9L	EAN : 8902552051108	New	"--"	"--"	"--"	9	1	9
R002-8	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Gray-Beige	B074WHMGLH	B074WHMGLH	EAN : 8902552050033	New	"--"	"--"	"--"	10	6	60
R002-9	Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Black-White	B074WJ8WMS	B074WJ8WMS	EAN : 8902552050040	New	"--"	"--"	"--"	10	6	60
R005-2	Chardin home Cotton Denim Jute Rug. Size: 4'x6'	B075766WVV	B075766WVV	EAN : 8902552050194	New	"--"	"--"	"--"	4	1	4
R022-1	Chardin home Rainbow Shag Rug, 20" x 30", Multi-Colored (Multi)	B07CL7J1MN	B07CL7J1MN	EAN : 8902552050972	New	"--"	"--"	"--"	16	2	32
R075-2	Chardin Home - 100% Cotton Handwoven, Fully Reversible Rug for Your Bathroom, Kitchen, Bedroom & More. Size 21''x34'', Machine Washable, Black & White	B08D3LYRF6	X002L47RKF		New	"--"	"--"	Merchant	18	1	18
R075-3	Chardin Home - 100% Cotton Handwoven, Fully Reversible Rug for Your Bathroom, Kitchen, Bedroom & More. Size 21''x34'', Machine Washable, Beige & White	B08D32XBZX	X002L47RVJ		New	"--"	"--"	Merchant	18	1	18
R087-1	Chardin Home – South Hampton Runner – Handwoven Wool Collection Area Rugs. Size: 2'x5', Color: Multi	B08MF5HPK5	X002P69BNF		New	"--"	"--"	Merchant	10	1	10
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	1	13
TR005-1	Chardin home Eco-Friendly Natural Jute/Cotton Table Runner, Size: 13"x72". Jute/Aqua-Turquoise	B07PBJ6YK1	B07PBJ6YK1	EAN : 8902552051368	New	"--"	"--"	"--"	20	1	20
TR009-2	Chardin home Natural Jute Burlap with Metallic Silver, Rustic, Vintage Table Runner, for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Set of 2 13''x72'', Natural-Silver	B08MF2SJZX	X002P66WPP		New	"--"	"--"	Merchant	25	1	25
