Shipment ID	FBA15WQF592K
Name	FBA (12/28/20, 5:48 AM) - 1
Plan ID	PLN3BMVQNP
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	2
Total Units	73
shipment-total-cases	9
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-4	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 3'X5'	B074WJ2DBY	B074WJ2DBY	EAN : 8902552050088	New	"--"	"--"	"--"	6	8	48
TR007-1	Chardin home 100% Natural Jute Burlap with Lace Fringes/Tassels, Rustic, Vintage Table Runner for Parties, BBQ's, Everyday use, Holidays and Special Occasions. Size: 13”x72”	B08MCKQLFQ	X002P60ZNF		New	"--"	"--"	Merchant	25	1	25
