Shipment ID	FBA15X53SG74											
Name	"FBA (1/4/21, 4:45 AM) - 1"											
Plan ID	PLN3CBBGRZ											
Ship To	"SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202"											
Total SKUs	45											
Total Units	1828											
shipment-total-cases	148											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
B001-4	"Chardin home 2 Piece Arizona Reversible Bath Rug Set (21""x34"" & 17""x24"") (Provencial Blue)"	B01CA1LUTG	B01CA1LUTG	EAN : 8902552046951	New	--	--	--	12	1	12	
B001-5	"Chardin Home 2 piece Arizona Reversible bath rug set (21""x34"" & 17""x24""), white"	B01CA1OTMG	B01CA1OTMG	EAN : 8902552045961	New	--	--	--	12	1	12	
B002-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Bluish Gray-Beige with Latex Spray Non-Skid Backing"	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	--	--	--	6	1	6	
B002-3	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Aqua Turquoise"	B01CA3EJH4	B01CA3EJH4	EAN : 8902552046883	New	--	--	--	6	1	6	
B002-5	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Blues with Latex Spray Non-Skid Backing"	B01LWQH0JV	B01LWQH0JV	EAN : 8902552048122	New	--	--	--	6	1	6	
B002-6	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 21''x34'') Mint-Green with Latex Spray Non-Skid Backing"	B079YBVLXM	B079YBVLXM	EAN : 8902552050583	New	--	--	--	6	1	6	
B003-1	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing"	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	--	--	--	12	2	24	
B003-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing, Machine Washable"	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	--	--	--	12	22	264	
B003-3	"Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal"	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	--	--	--	12	4	48	
B003-4	"100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing"	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	--	--	--	12	5	60	
B003-5	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing"	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	--	--	--	12	4	48	
B003-6	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing"	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	--	--	--	12	7	84	
B003-7	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing"	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	--	--	--	12	3	36	
B015-3	"Chardin Home - 100% Cotton Two Piece Classic Bath Rug Set, (21''x34'' & 17''x24'') with Anti-Skid Spray Latex Back, 21''x34''/17''x24'', Burgundy"	B01LXDD7MA	B01LXDD7MA	EAN : 8902552048184	New	--	--	--	12	1	12	
B027-1	"Chardin home Newport Soft and Durable Tissue/Chenille Rug, Cotton Poly Blended Bathroom Mat or Accent Rug, 20"" W x 32"" L, Blue/White"	B06X1CGW5P	B06X1CGW5P	EAN : 8902552049105	New	--	--	--	20	1	20	
B029-1	"Chardin Home - Reversible 2 Pieces Bath Rug Set (17""x24"" & 17""x24""), White, Machine Washable"	B06X1981DQ	B06X1981DQ	EAN : 8902552048801	New	--	--	--	20	1	20	
B030-1	"Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Blues, 24"" W x 60'' L"	B06WP9ND12	B06WP9ND12	EAN : 8902552049891	New	--	--	--	8	2	16	
B030-2	"Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Turquoise, 24"" W x 60'' L"	B06W9NMBL2	B06W9NMBL2	EAN : 8902552049907	New	--	--	--	8	1	8	
B030-3	"Chardin home Cordural Stripe Bath Rug Runner with Skid Resistant Latex Spray Underneath.Gray-Beige, 24"" W x 60'' L"	B06W5GL4H3	B06W5GL4H3	EAN : 8902552049914	New	--	--	--	8	1	8	
