Shipment ID	FBA15X53TH2W
Name	FBA (1/4/21, 4:45 AM) - 2
Plan ID	PLN3CBBGRZ
Ship To	SLC2, 7148 W. Old Bingham Hwy, West Jordan, UT, US, 84081
Total SKUs	2
Total Units	56
shipment-total-cases	14
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'x7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	"--"	"--"	"--"	7	7	49
B025-5	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 8'X10'	B0779L7CYG	B0779L7CYG	EAN : 8902552050606	New	"--"	"--"	"--"	1	7	7
