WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B002-5,,EAN : 8902552048122,,BEST,01-08-2021,01-11-2021,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B003-1,,EAN : 8902552045947,,BEST,01-08-2021,01-11-2021,24,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B003-2,,EAN : 8902552046890,,BEST,01-08-2021,01-11-2021,36,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B003-5,,EAN : 8902552048115,,BEST,01-08-2021,01-11-2021,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B031-2,,EAN : 8902552050415,,BEST,01-08-2021,01-11-2021,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B031-3,,EAN : 8902552050422,,BEST,01-08-2021,01-11-2021,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B036-1,,EAN : 8902552051535,,BEST,01-08-2021,01-11-2021,40,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B040-2,,EAN : 8902552051702,,BEST,01-08-2021,01-11-2021,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B040-4,,EAN : 8902552051726,,BEST,01-08-2021,01-11-2021,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,B046-1,,EAN : 8902552051962,,BEST,01-08-2021,01-11-2021,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,R002-1,,EAN : 8902552045992,,BEST,01-08-2021,01-11-2021,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,R002-3,,EAN : 8902552049129,,BEST,01-08-2021,01-11-2021,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,R002-5,,EAN : 8902552048856,,BEST,01-08-2021,01-11-2021,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2K0SG1,01-08-2021,,,,,,CHM,,,R002-8,,EAN : 8902552050033,,BEST,01-08-2021,01-11-2021,20,CS,10,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15W2K0SG1.pdf
CA,,,3,FBA15W2JZRKN,01-08-2021,,,,,,CHM,,,R031-1,,EAN : 8902552052136,,BEST,01-08-2021,01-11-2021,3,CS,3,,"Amazon.com Services, Inc.",,6050 Gateway Court,,Groveport,OH,43125-9016,,,,,,,,Shipping labels in file package-FBA15W2JZRKN.pdf
