Shipment ID	FBA15QXDF8QB
Name	FBA (9/9/20, 11:45 PM) - 1
Plan ID	PLN30K78BV
Ship To	SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202
Total SKUs	15
Total Units	395
shipment-total-cases	29
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B002-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	"--"	"--"	"--"	6	1	6
B002-6	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40'' & 17''x24'') Mint-Green with Latex spray non-skid backing	B079YBVLXM	B079YBVLXM	EAN : 8902552050583	New	"--"	"--"	"--"	6	1	6
B003-2	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	"--"	"--"	"--"	12	7	84
B003-5	Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex spray non-skid backing	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	"--"	"--"	"--"	12	2	24
B003-6	Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	"--"	"--"	"--"	12	2	24
B029-1	Chardin Home 2 Piece Reversible Step Mat Set (17" x 24" & 17''x24''),White	B06X1981DQ	B06X1981DQ	EAN : 8902552048801	New	"--"	"--"	"--"	20	1	20
B036-4	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing.	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	"--"	"--"	"--"	20	1	20
B037-7	Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, with Latex Spray Non-Skid Backing,Coral (21''x34'', White)	B08CZLTVVT	X002L2882N	EAN : 8903540506273	New	"--"	"--"	Merchant	20	1	20
PM002	Chardin home Eco Friendly Denim/Jute Placemats (Set of 4), Size: 14''x19'' (14''x19'')	B074W7DF2M	B074W7DF2M	EAN : 8902552050170	New	"--"	"--"	"--"	12	4	48
PM003	Chardin home Eco friendly Rainbow Multi Chindi Placemats (Set of 4 mats), size: 13"x19" (13''x19'')	B076Y1H1BD	B076Y1H1BD	EAN : 8902552050200	New	"--"	"--"	"--"	16	4	64
R002-5	Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Navy/Ivory	B071ZZCJKH	B071ZZCJKH	EAN : 8902552048856	New	"--"	"--"	"--"	20	1	20
R005-1	Chardin home Denim Jute Runner Rug. Size: 24"x60"	B074W75Q83	B074W75Q83	EAN : 8902552050163	New	"--"	"--"	"--"	8	1	8
R037-1	Chardin Home- Cairo: Hand Woven Recycled Cotton Rug, Gray/Ivory, Size 2’x3’. Machine Washable.	B086YG1NKZ	B086YG1NKZ	EAN : 0677355114494	New	"--"	"--"	"--"	20	1	20
R072-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (24''x36'')	B08D3NXRW4	X002L40RIT	EAN : 8903540506150	New	"--"	"--"	Merchant	18	1	18
TR002	Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''	B07575J673	B07575J673	EAN : 8902552050187	New	"--"	"--"	"--"	13	1	13
