Shipment ID	FBA15R3CGWJP
Name	FBA (9/14/20, 11:14 PM) - 2
Plan ID	PLN30YK27R
Ship To	Amazon.com Services, Inc., 675 Allen Rd., Carlisle, PA, US, 17015-7788
Total SKUs	3
Total Units	24
shipment-total-cases	3
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
R003-2	Chardin home Rainbow Multi-Chindi and Natural Hemp Braid Rug, 6' Round	B06X1FDCQR	B06X1FDCQR	EAN : 8902552048870	New	"--"	"--"	"--"	1	1	1
R028-1	Chardin home Denim and Natural Hemp Braid Rug, Oval mat (18''x30'')	B07CJSJ6NG	B07CJSJ6NG	EAN : 8902552051030	New	"--"	"--"	"--"	20	1	20
R057-1	Chardin Home- Cabana Stripe : Hand Woven Recycled Cotton Area Rug, (6'x9', Black-White)	B086YZSBQK	B086YZSBQK	EAN : 0677355185845	New	"--"	"--"	"--"	3	1	3
