Shipment ID	FBA15R3DQ7YY											
Name	"FBA (9/14/20, 11:14 PM) - 1"											
Plan ID	PLN30YK27R											
Ship To	"SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202"											
Total SKUs	31											
Total Units	851											
shipment-total-cases	70											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
B002-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (24''x40''& 21''x34'') Gray-Beige with Latex Spray Non-Skid Backing"	B01CA3BNK0	B01CA3BNK0	EAN : 8902552045954	New	--	--	--	6	2	12	
B003-1	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Brown-Beige with Latex Spray Non-Skid Backing"	B01CA3UUCC	B01CA3UUCC	EAN : 8902552045947	New	--	--	--	12	4	48	
B003-2	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Gray-Beige with Latex Spray Non-Skid Backing"	B01CA4383E	B01CA4383E	EAN : 8902552046890	New	--	--	--	12	7	84	
B003-3	"Chardin Home - 100% Pure Cotton – Two (2) Piece Cordural Stripe Bath Rug Set (21''x34'' & 17''x24''). Luxurious, Soft & Thick, Highly Absorbent with Latex Spray Non-Skid Backing, Gray-Charcoal"	B01CA489EC	B01CA489EC	EAN : 8902552046906	New	--	--	--	12	2	24	
B003-4	"100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Aqua Turquoise with Latex Spray Non-Skid Backing"	B01CA4D5EQ	B01CA4D5EQ	EAN : 8902552046913	New	--	--	--	12	2	24	
B003-5	"Chardin Home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Blues with Latex Spray Non-Skid Backing"	B01M0BCBG4	B01M0BCBG4	EAN : 8902552048115	New	--	--	--	12	2	24	
B003-6	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34''& 17''x24'') Mint Green with Latex Spray Non-Skid Backing"	B079YL1PQ9	B079YL1PQ9	EAN : 8902552050590	New	--	--	--	12	2	24	
B003-7	"Chardin home - 100% Pure Cotton - 2 Piece Cordural Stripe Bath Rug Set, (21''x34'' & 17''x24'') Lavender Gray & Coral Pink with Latex Spray Non-Skid Backing"	B07TLX54ZF	B07TLX54ZF	EAN : 8902552051498	New	--	--	--	12	1	12	
B007-4	"Chardin Home Classic Bath Rug, Large 27""X45"" Burgundy 100% Pure Cotton, Super Soft, Plush & Absorbent with Latex Spray Non-skid Backing"	B01CCWBQ5Q	B01CCWBQ5Q	EAN : 8902552046999	New	--	--	--	10	1	10	
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'X7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	--	--	--	8	12	96	Kindly arrange to make a box of 8 pcs for this sku
B025-4	Eco Friendly 100% Recycled Cotton Colorful chindi Area Rug - 3'X5'	B074WJ2DBY	B074WJ2DBY	EAN : 8902552050088	New	--	--	--	8	3	24	Kindly arrange to make a box of 8 pcs for this sku
B036-1	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Coral, with Latex Spray Non-Skid Backing."	B07VDS1JSP	B07VDS1JSP	EAN : 8902552051535	New	--	--	--	20	1	20	
B036-4	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Lavender with Latex Spray Non-Skid Backing."	B07VGX3CGH	B07VGX3CGH	EAN : 8902552051566	New	--	--	--	20	1	20	
B036-5	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Aqua Blue with Latex Spray Non-Skid Backing."	B07VFWZ6Z9	B07VFWZ6Z9	EAN : 8902552051771	New	--	--	--	20	1	20	
B036-6	"Chardin Home - 100% Pure Cotton - Crochet Round Bath Rug, 24'' Round Mat, Turquoise, with Latex Spray Non-Skid Backing."	B07VFX71JL	B07VFX71JL	EAN : 8902552051788	New	--	--	--	20	1	20	
