PlanName	PLN1020A		
ShipToCountry	US		
AddressName	Phyllis Duncan		
AddressFieldOne	3PL Worldwide		
AddressFieldTwo	11190 White Birch Drive		
AddressCity	Rancho Cucamonga		
AddressCountryCode	US		
AddressStateOrRegion	CA		
AddressPostalCode	91730		
AddressDistrict			
			
MerchantSKU	UnitsPerCase	NumberOfCases	Quantity
B002-2	6	2	12
B002-3	6	2	12
B003-1	12	2	24
B003-4	12	3	36
B003-5	12	3	36
B003-6	12	1	12
B003-7	12	1	12
B025-5	1	2	2
B030-5	8	1	8
B036-1	20	1	20
B036-4	20	1	20
B036-7	20	2	40
B037-8	20	1	20
B039-4	24	1	24
B044-2	16	1	16
B045-1	24	1	24
B051-3	20	1	20
B053-1	10	2	20
PM002	12	14	168
PM003	16	2	32
PM004	14	4	56
PM006	20	1	20
R002-8	10	2	20
R033-1	26	1	26
R041-1	2	1	2
R045-1	6	1	6
R057-1	3	1	3
R072-1	18	1	18
R073-1	8	4	32
R074-1	3	1	3
R075-3	18	1	18
THR001-1	10	1	10
TR002	13	2	26
TR018-1	8	1	8
