PRODUCT,DESC,UPC,QTY ON HAND,QTY HELD,TOTAL QUANTITY AVAILABLE
ASSORTED,HAND BAGS-ASSORTED,' ASSORTED,0,0,0
B001-3,Arizona Reversible 2 Pc Bath Set - Beige,' 8902552046944,0,0,0
B001-4,Arizona Reversible 2 Pc Bath Set - Provencial Blue,' 8902552046951,0,0,0
B001-5,Arizona Reversible 2 Pc Bath Set - White,' 8902552045961,0,0,0
B001-6,Arizona Reversible 2 Pc Bath Set - Griffin Gray,' 8902552045978,0,0,0
B002-1,Cordural Mixed 2 Pc Bath Set - Brown-Beige,' 8902552045930,0,0,0
B002-2,Cordural Mix 2 Pc Bath Set Gray-Beige,' 8902552045954,259,0,259
B002-3,Cordural Mixed 2 Pc Bath Set - Turquoise,' 8902552046883,84,0,84
B002-4,Cordural Mixed 2 Pc Bath Set - Gray Charcoal,' 8902552046876,3,0,3
B002-5,Cordural Mixed 2 Pc Bath Set - Blues,' 8902552048122,0,0,0
B002-6,Cordural Mix 2 Pc Bath Set Mint Green,' 8902552050583,215,0,215
B002-7,Cordural Mixed 2 Pc Bath Set - Pinks,' 8902552051481,17,0,17
B003-1,Cordural Mixed 2 Pc Bath Set Browns,' 8902552045947,899,0,899
B003-2,Cordural MIX 2 Pc Bath Set Gray-Beige,' 8902552046890,2154,24,2130
B003-3,Cordural Mixed 2 Pc Bath Set Gray Charcoal,' 8902552046906,272,0,272
B003-4,Cordural Mixed 2 Pc Bath Set - Turquoise,' 8902552046913,782,0,782
B003-5,Cordural Mixed 2 Pc Bath Set Blues,' 8902552048115,553,0,553
B003-6,Cordural Mixed 2 Pc Bath Set Mint Green,' 8902552050590,740,0,740
B003-7,Cordural Mixed 2 Pc Bath Set - Pinks,' 8902552051498,218,0,218
B006-2,Pebbles Mat - Grey-Beige,' 8902552046791,315,0,315
B007-4,Classic - Burgundy,' 8902552046999,65,0,65
B007-7,CLASSIC BATCH RUG 27X45,' 8902552048269,0,0,0
B015-11,Classic 2 Pc Bath Rug Set - Mint Green,' 8902552049983,1,0,1
B015-12,Classic 2 Pc Bath Rug Set - Lt. Grey,' 8902552051047,4,0,4
B015-13,Classic 2 Pc Bath Rug Set - Turquoise,' 8902552051054,0,0,0
B015-14,Classic 2 Pc Bath Rug Set - Mid Blue,' 8902552051061,0,0,0
B015-15,Classic 2 Pc Bath Rug Set - Nutmeg Brown,' 8902552051078,0,0,0
B015-16,Classic 2 Pc Bath Rug Set - Mid Gray,' 8902552051085,0,0,0
B015-2,Classic 2 Pc Bath Rug Set - Navy,' 8902552048177,0,0,0
B015-3,Classic 2 Pc Bath Rug Set - Burgundy,' 8902552048184,7,0,7
B015-6,Classic 2 Pc Bath Rug Set - Platinum Grey,' 8902552048207,0,0,0
B015-9,Classic 2 Pc Bath Rug Set - White,' 8902552048238,0,0,0
B019-2,SPLENDOR REVERSIBLE STEP OUT 2PC RUG SET,' 8902552048436,0,0,0
B025-1,Rainbow Multi Chindi Rag Rug-L - Multi,' 8902552048658,0,0,0
B025-3,Rainbow Multi Chindi Rag Rug-R - Multi,' 8902552050071,775,0,775
B025-4,Rainbow Multi Chindi Rag Rug-M - Multi,' 8902552050088,48,0,48
B025-5,Rainbow Multi Chindi Rag Rug-XL - Multi,' 8902552050606,0,0,0
B027-1,Newport Rug - Blue,' 8902552049105,0,0,0
B027-2,Newport Rug - Grey White,' 8902552051238,1,1,0
B028-1,Arabella Rug - Blue-White,' 8902552049112,20,0,20
B029-1,Reversible 2 Pc Bath Set - White,' 8902552048801,256,0,256
B029-2,Reversible 2 Pc Bath Set - Beige,' 8902552048818,0,0,0
B030-1,Cordural Stripe Runner Blues,' 8902552049891,0,0,0
B030-2,Cordural Stripe Bath Rug - Turquoise,' 8902552049907,0,0,0
B030-3,Cordural Stripe Bath Rug - Gray-Beige,' 8902552049914,0,0,0
B030-4,Cordural Stripe Runner Mint Green,' 8902552050576,0,0,0
B030-5,Cordural Stripe Bath Rug - Pinks,' 8902552051504,95,0,95
B030-6,Cordural Stripe Runner - Browns,' 8902552051511,250,0,250
B030-7,Cordural Stripe Runner  - Grey Charcoal,' 8902552051528,63,0,63
B031-1,Classic 2 Pc Bath Set - Navy,' 8902552050408,0,0,0
B031-2,Classic 2 Pc Bath Set - Burgundy,' 8902552050415,5,0,5
B031-3,Classic 2 Pc Bath Set - White,' 8902552050422,0,0,0
B031-4,Classic 2 Pc Bath Set  - Pink,' 8902552050439,3,0,3
B031-5,Classic 2 Pc Bath Set  - Grey Flannel,' 8902552050446,0,0,0
B031-6,Classic 2 Pc Bath Set  - Mint Green,' 8902552050453,0,0,0
B034-1,New Cordural Solid 2 Pc Bath Set - Grey Flannel,' 8902552050224,0,0,0
B034-2,New Cordural Solid 2 Pc Bath Set - Mocha,' 8902552050231,0,0,0
B034-3,New Cordural Solid 2 Pc Bath Set - Navy,' 8902552050248,0,0,0
B034-5,New Cordural Solid 2 Pc Bath Set - Linen,' 8902552050262,0,0,0
B034-6,New Cordural Solid 2 Pc Bath Set - White,' 8902552050279,0,0,0
B035-1,New Cordural Solid Runner - Grey Flannel,' 8902552050286,419,0,419
B035-3,New Cordural Solid Runner - Navy,' 8902552050309,0,0,0
B035-4,New Cordural Solid Runner - Griffin Gray,' 8902552050316,0,0,0
B035-5,New Cordural Solid Runner - Linen,' 8902552050323,0,0,0
B035-6,New Cordural Solid Runner - White,' 8902552050330,3,0,3
B036-1,Crochet Mat Round - Coral,' 8902552051535,116,0,116
B036-2,Crochet Mat Round - Pink,' 8902552051542,37,0,37
B036-3,Crochet Mat Round - Griffin Gray,' 8902552051559,0,0,0
B036-4,Crochet Mat Round - Lavender,' 8902552051566,360,0,360
B036-5,Crochet Mat Round - Aqua,' 8902552051771,77,0,77
B036-6,Crochet Mat Round - Turquoise,' 8902552051788,140,0,140
B036-7,CROCHET MAT ROUND WHITE,' 890354050 6235,299,20,279
B036-8,Crochet Mat Round,' 890354050 6242,293,0,293
B036-9,Crochet Mat Round,' B036-9,292,0,292
B037-1,Crochet Mat Oval - Coral,' 8902552051573,161,0,161
B037-2,Crochet Mat Oval Pink,' 8902552051580,215,0,215
B037-3,Crochet Mat Oval Griffin Gray,' 8902552051597,99,0,99
B037-4,Crochet Mat Oval - Lavender,' 8902552051603,188,0,188
B037-5,Crochet Mat Oval - Aqua,' 8902552051795,84,0,84
B037-6,Crochet Mat Oval Turquoise,' 8902552051801,89,0,89
B037-7,Crochet Mat Oval,' 890354050 6273,297,0,297
B037-8,Crochet Mat Oval,' 890354050 6280,282,0,282
B037-9,Crochet Mat Oval,' 890354050 6297,271,0,271
B038-1,Highland Stripe Bath Rug-S - White,' 8902552051610,51,0,51
B038-2,Highland Stripe Bath Rug-S Griffin Gray,' 8902552051627,38,0,38
B038-3,Highland Stripe Bath Rug-S Provencial Blue,' 8902552051634,55,0,55
